trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.268,,,100.0
2,pract,L,,,0.338,,,110.0
3,pract,L,,,0.338,,,120.0
4,pract,L,,,0.334,,,110.0
5,pract,R,,,0.335,,,100.0
6,pract,R,,,0.216,,,90.0
7,pract,L,,,0.285,,,80.0
8,pract,L,,,0.357,,,70.0
9,pract,R,,,0.309,,,60.0
10,pract,R,,,0.361,,,50.0
11,pract,R,,,0.264,,,40.0
12,pract,L,,,0.221,,,30.0
13,pract,R,,,0.278,,,20.0
14,pract,L,,,0.379,,,15.0
15,pract,R,,,0.313,,,10.0
16,pract,L,,,0.363,,,8.0
17,pract,L,,,0.369,,,6.0
18,pract,R,,,0.229,,,4.0
19,pract,L,,,0.381,,,2.0
20,pract,L,,,0.29,,,4.0
21,pract,L,,,0.366,,,6.0
22,pract,R,,,0.246,,,4.0
23,pract,L,,,0.273,,,6.0
24,pract,L,,,0.292,,,4.0
25,pract,R,,,0.381,,,2.0
