trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.346,,,100.0
2,pract,L,,,0.338,,,90.0
3,pract,R,,,0.346,,,100.0
4,pract,L,,,0.339,,,90.0
5,pract,L,,,0.289,,,100.0
6,pract,L,,,0.251,,,90.0
7,pract,R,,,0.345,,,80.0
8,pract,L,,,0.204,,,70.0
9,pract,R,,,0.368,,,60.0
10,pract,L,,,0.227,,,50.0
11,pract,L,,,0.331,,,40.0
12,pract,R,,,0.247,,,30.0
13,pract,L,,,0.39,,,20.0
14,pract,L,,,0.279,,,25.0
15,pract,L,,,0.321,,,20.0
16,pract,L,,,0.208,,,15.0
17,pract,R,,,0.287,,,20.0
18,pract,L,,,0.321,,,15.0
19,pract,L,,,0.396,,,10.0
20,pract,R,,,0.202,,,8.0
21,pract,R,,,0.243,,,10.0
22,pract,L,,,0.213,,,8.0
23,pract,R,,,0.258,,,10.0
24,pract,L,,,0.368,,,8.0
25,pract,R,,,0.28,,,6.0
