,startTime,stopTime,whichEye
0,0.005,0.285,R
0,0.005,0.285,L
1,5.091,5.204,L
1,5.091,5.204,R
2,5.346,6.193,R
2,5.346,6.193,L
3,6.779,7.355,L
3,6.779,7.355,R
4,10.114,10.223,R
4,10.114,10.223,L
5,10.661,11.017,L
5,10.661,11.017,R
6,11.246,13.417,R
6,11.246,13.417,L
7,13.865,13.936,L
7,13.865,13.936,R
8,17.091,17.822,R
8,17.091,17.822,L
9,19.115,23.701,L
9,19.115,23.701,R
10,23.837,24.082,R
10,23.837,24.082,L
11,26.261,26.339,L
11,26.261,26.339,R
12,27.89,27.979,R
12,27.89,27.979,L
13,29.813,29.944,L
13,29.813,29.944,R
14,30.018,32.17,R
14,30.018,32.17,L
15,33.047,33.513,L
15,33.047,33.513,R
16,34.184,35.236,R
16,34.184,35.236,L
17,35.64,35.661,L
17,35.64,35.661,R
18,35.926,35.946,R
18,35.926,35.946,L
19,37.631,37.707,L
19,37.631,37.707,R
20,38.568,38.594,R
20,38.568,38.594,L
21,38.596,39.015,L
21,38.596,39.015,R
22,40.727,40.895,R
22,40.727,40.895,L
23,41.758,42.074,L
23,41.758,42.074,R
24,42.188,42.275,R
24,42.188,42.275,L
25,42.365,43.279,L
25,42.365,43.279,R
26,43.625,43.708,R
26,43.625,43.708,L
27,44.192,44.228,L
27,44.192,44.228,R
28,44.52,44.636,R
28,44.52,44.636,L
29,44.774,44.811,L
29,44.774,44.811,R
30,44.828,44.851,R
30,44.828,44.851,L
31,45.093,45.151,L
31,45.093,45.151,R
32,45.22,45.395,L
32,45.22,45.395,R
33,45.437,45.94,R
33,45.437,45.94,L
34,46.224,46.327,L
34,46.224,46.327,R
35,46.355,46.651,R
35,46.355,46.651,L
36,48.33,48.444,L
36,48.33,48.444,R
37,49.437,49.466,R
37,49.437,49.466,L
38,49.764,49.816,L
38,49.764,49.816,R
39,50.083,51.478,R
39,50.083,51.478,L
40,51.918,53.586,L
40,51.918,53.586,R
41,54.045,54.839,R
41,54.045,54.839,L
42,55.961,56.051,L
42,55.961,56.051,R
43,60.568,60.645,R
43,60.568,60.645,L
44,62.515,63.191,L
44,62.515,63.191,R
45,64.127,67.604,R
45,64.127,67.604,L
46,73.761,81.055,L
46,73.761,81.055,R
47,83.515,83.925,R
47,83.515,83.925,L
48,86.128,86.158,R
48,86.128,86.158,L
49,86.753,86.869,L
49,86.753,86.869,R
50,92.351,92.973,R
50,92.351,92.973,L
51,94.865,94.941,L
51,94.865,94.941,R
52,99.964,100.295,L
52,99.964,100.295,R
53,112.799,112.9,R
53,112.799,112.9,L
54,118.125,118.157,L
54,118.125,118.157,R
55,120.472,120.574,R
55,120.472,120.574,L
56,126.435,126.495,L
56,126.435,126.495,R
57,131.761,131.849,R
57,131.761,131.849,L
58,134.524,134.648,L
58,134.524,134.648,R
59,142.48,142.543,R
59,142.48,142.543,L
60,147.733,147.781,L
60,147.733,147.781,R
61,150.134,150.207,R
61,150.134,150.207,L
62,153.584,153.619,L
62,153.584,153.619,R
63,153.986,154.057,R
63,153.986,154.057,L
64,154.376,154.429,R
64,154.376,154.429,L
65,160.881,161.243,L
65,160.881,161.243,R
66,162.646,162.693,R
66,162.646,162.693,L
67,164.213,164.284,L
67,164.213,164.284,R
68,164.715,164.852,L
68,164.715,164.852,R
69,170.435,170.593,R
69,170.435,170.593,L
70,172.361,174.977,L
70,172.361,174.977,R
71,176.887,177.391,R
71,176.887,177.391,L
72,177.728,177.768,L
72,177.728,177.768,R
73,178.961,179.046,R
73,178.961,179.046,L
74,179.866,182.021,L
74,179.866,182.021,R
75,182.965,183.922,R
75,182.965,183.922,L
76,187.256,187.378,R
76,187.256,187.378,L
77,188.436,191.595,L
77,188.436,191.595,R
78,193.388,194.954,R
78,193.388,194.954,L
79,194.989,200.697,L
79,194.989,200.697,R
80,201.669,201.697,R
80,201.669,201.697,L
81,202.708,202.755,L
81,202.708,202.755,R
82,203.185,204.364,R
82,203.185,204.364,L
83,205.014,205.137,L
83,205.014,205.137,R
84,205.862,205.984,R
84,205.862,205.984,L
85,206.07,210.39,L
85,206.07,210.39,R
86,210.873,211.021,R
86,210.873,211.021,L
87,211.73,213.293,L
87,211.73,213.293,R
88,215.961,216.843,R
88,215.961,216.843,L
89,219.373,220.177,L
89,219.373,220.177,R
90,225.457,225.514,R
90,225.457,225.514,L
91,233.837,233.858,L
91,233.837,233.858,R
92,234.549,234.658,R
92,234.549,234.658,L
93,242.988,243.086,L
93,242.988,243.086,R
94,244.393,244.972,R
94,244.393,244.972,L
95,245.261,245.829,L
95,245.261,245.829,R
96,255.312,255.418,R
96,255.312,255.418,L
97,264.361,264.394,L
97,264.361,264.394,R
98,268.819,268.942,R
98,268.819,268.942,L
99,275.326,275.346,L
99,275.326,275.346,R
100,283.751,283.893,R
100,283.751,283.893,L
101,288.963,289.006,L
101,288.963,289.006,R
102,290.289,290.375,R
102,290.289,290.375,L
103,296.562,296.61,L
103,296.562,296.61,R
104,297.08,297.19,R
104,297.08,297.19,L
105,303.266,303.285,L
105,303.266,303.285,R
106,303.629,303.768,R
106,303.629,303.768,L
107,313.067,313.123,L
107,313.067,313.123,R
108,313.789,313.939,R
108,313.789,313.939,L
109,318.239,318.301,L
109,318.239,318.301,R
110,327.476,327.536,R
110,327.476,327.536,L
111,328.078,328.186,L
