218.9270 	DATA 	Keypress: c
218.9286 	EXP 	Device response: <KeyPress from None: t=218.92281985282898, value=c, duration=None>
219.0811 	EXP 	Device response: <KeyPress from None: t=218.92281985282898, value=c, duration=0.12801742553710938>
226.8632 	EXP 	Device response: <KeyPress from None: t=226.85877752304077, value=return, duration=None>
227.0551 	EXP 	Device response: <KeyPress from None: t=226.85877752304077, value=return, duration=0.19206762313842773>
231.5564 	EXP 	Device response: <KeyPress from None: t=231.54672002792358, value=return, duration=None>
231.6785 	EXP 	Device response: <KeyPress from None: t=231.54672002792358, value=return, duration=0.12804841995239258>
233.7621 	EXP 	Device response: <KeyPress from None: t=233.7547745704651, value=space, duration=None>
233.7663 	DATA 	Keypress: return
233.7665 	DATA 	Keypress: return
233.7666 	DATA 	Keypress: space
233.8921 	EXP 	Device response: <KeyPress from None: t=233.7547745704651, value=space, duration=0.11199164390563965>
265.4522 	EXP 	window1: units = 'norm'
265.4523 	EXP 	window1: units = 'pix'
275.7230 	EXP 	Device response: <KeyPress from None: t=275.72279500961304, value=escape, duration=None>
275.7302 	DATA 	Keypress: escape
275.7474 	EXP 	window1: units = 'norm'
275.7475 	EXP 	window1: units = 'pix'
275.7512 	EXP 	Added new global key event: quitKey
287.5787 	DATA 	Keypress: space
297.8027 	DATA 	Keypress: space
300.1387 	DATA 	Keypress: 3
311.0989 	DATA 	Keypress: 3
327.5147 	DATA 	Keypress: 3
418.1067 	DATA 	Keypress: 3
432.7307 	DATA 	Keypress: 3
457.6428 	DATA 	Keypress: space
457.6429 	EXP 	StartPractice
457.6494 	EXP 	Starting Trial Number 1
457.6507 	EXP 	fixationDurationInSec:0.371
457.6507 	EXP 	targetDistance:L
457.6508 	EXP 	blankDurationInFrameCount:100
457.6508 	EXP 	displacement:0.5000
457.6543 	EXP 	startFixDisplay
457.6585 	EXP 	startFixPeriod
458.0291 	EXP 	targetPresented
458.0374 	EXP 	blankDurationStart
458.4537 	EXP 	maskStart
