trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.371,,,100.0
2,pract,L,,,0.278,,,90.0
3,pract,R,,,0.344,,,80.0
4,pract,R,,,0.325,,,70.0
5,pract,L,,,0.283,,,60.0
6,pract,R,,,0.38,,,70.0
7,pract,R,,,0.294,,,60.0
8,pract,L,,,0.231,,,50.0
9,pract,R,,,0.311,,,40.0
10,pract,L,,,0.2,,,30.0
11,pract,R,,,0.318,,,20.0
12,pract,L,,,0.33,,,15.0
13,pract,L,,,0.38,,,10.0
14,pract,L,,,0.35,,,12.0
15,pract,R,,,0.25,,,17.0
16,pract,L,,,0.261,,,12.0
17,pract,L,,,0.396,,,17.0
18,pract,L,,,0.356,,,22.0
19,pract,L,,,0.385,,,27.0
20,pract,L,,,0.251,,,32.0
21,pract,L,,,0.302,,,37.0
22,pract,R,,,0.317,,,42.0
23,pract,R,,,0.233,,,47.0
24,pract,R,,,0.365,,,52.0
25,pract,R,,,0.328,,,57.0
