,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc
0,pract,0,StartPractice,1781277738.4371,457.64286971092224
1,pract,1,startFixDisplay,1781277738.4485643,457.6543333530426
2,pract,1,startFixPeriod,1781277738.45282,457.6585922241211
3,pract,1,targetPresented,1781277738.8233953,458.0291669368744
4,pract,1,blankDurationStart,1781277738.8316882,458.0374572277069
5,pract,1,maskStart,1781277739.2479944,458.453763961792
6,pract,1,maskEnd,1781277739.7475083,458.95327711105347
7,pract,1,LeftResponse,1781277739.8644233,459.07019424438477
8,pract,1,EndOfTrial,1781277739.8683796,459.0741515159607
9,pract,1,FeedbackPeriodStarted,1781277739.8848538,459.0906226634979
10,pract,2,startFixDisplay,1781277741.3963041,460.60207629203796
11,pract,2,startFixPeriod,1781277741.4004653,460.6062364578247
12,pract,2,targetPresented,1781277741.6752353,460.88100695610046
13,pract,2,blankDurationStart,1781277741.6835392,460.8893105983734
14,pract,2,maskStart,1781277742.0582986,461.2640702724457
15,pract,2,maskEnd,1781277742.5579126,461.76368403434753
16,pract,2,LeftResponse,1781277743.1909847,462.396755695343
17,pract,2,EndOfTrial,1781277743.1948206,462.40058946609497
18,pract,2,FeedbackPeriodStarted,1781277743.203133,462.40890192985535
19,pract,3,startFixDisplay,1781277744.7103534,463.9161250591278
20,pract,3,startFixPeriod,1781277744.7395487,463.9453182220459
21,pract,3,targetPresented,1781277745.0809412,464.28671288490295
22,pract,3,blankDurationStart,1781277745.089259,464.29503083229065
23,pract,3,maskStart,1781277745.422354,464.628125667572
24,pract,3,maskEnd,1781277745.9218657,465.12763476371765
25,pract,3,RightResponse,1781277746.3593557,465.5651264190674
26,pract,3,EndOfTrial,1781277746.3632154,465.56898641586304
27,pract,3,FeedbackPeriodStarted,1781277746.371533,465.5773015022278
28,pract,4,startFixDisplay,1781277747.8744514,467.0802204608917
29,pract,4,startFixPeriod,1781277747.8786893,467.0844581127167
30,pract,4,targetPresented,1781277748.2035806,467.40935230255127
31,pract,4,blankDurationStart,1781277748.21189,467.4176595211029
32,pract,4,maskStart,1781277748.5031972,467.70896887779236
33,pract,4,maskEnd,1781277749.0027878,468.2085566520691
34,pract,4,RightResponse,1781277749.381811,468.58757972717285
35,pract,4,EndOfTrial,1781277749.385842,468.5916132926941
36,pract,4,FeedbackPeriodStarted,1781277749.3942318,468.60000371932983
37,pract,5,startFixDisplay,1781277750.9096556,470.1154272556305
38,pract,5,startFixPeriod,1781277750.9138193,470.1195909976959
39,pract,5,targetPresented,1781277751.1927986,470.39856815338135
40,pract,6,startFixDisplay,1781277754.719334,473.92510628700256
41,pract,6,startFixPeriod,1781277754.7234776,473.9292492866516
42,pract,6,targetPresented,1781277755.1022692,474.30804085731506
43,pract,6,blankDurationStart,1781277755.1105926,474.3163642883301
44,pract,6,maskStart,1781277755.4020357,474.6078071594238
45,pract,6,maskEnd,1781277755.9016476,475.10741901397705
46,pract,6,RightResponse,1781277757.0301719,476.2359428405762
47,pract,6,EndOfTrial,1781277757.0340886,476.2398600578308
48,pract,6,FeedbackPeriodStarted,1781277757.0424018,476.2481734752655
49,pract,7,startFixDisplay,1781277758.5536416,477.7594106197357
50,pract,7,startFixPeriod,1781277758.5578477,477.7636194229126
51,pract,7,targetPresented,1781277758.8493688,478.05514216423035
52,pract,7,blankDurationStart,1781277758.8576648,478.06343603134155
53,pract,7,maskStart,1781277759.107474,478.31324577331543
54,pract,7,maskEnd,1781277759.6070917,478.812863111496
55,pract,7,RightResponse,1781277760.1027699,479.3085527420044
56,pract,7,EndOfTrial,1781277760.1066456,479.3124144077301
57,pract,7,FeedbackPeriodStarted,1781277760.1150215,479.3207936286926
58,pract,8,startFixDisplay,1781277761.617929,480.82369780540466
59,pract,8,startFixPeriod,1781277761.621998,480.82776713371277
60,pract,8,targetPresented,1781277761.8511045,481.05687403678894
61,pract,8,blankDurationStart,1781277761.859498,481.0652709007263
62,pract,8,maskStart,1781277762.067661,481.273432970047
63,pract,8,maskEnd,1781277762.56728,481.77305150032043
64,pract,8,LeftResponse,1781277762.9672043,482.17297554016113
65,pract,8,EndOfTrial,1781277762.971121,482.1768925189972
66,pract,8,FeedbackPeriodStarted,1781277762.9794307,482.1852021217346
67,pract,9,startFixDisplay,1781277764.4905992,483.6963679790497
68,pract,9,startFixPeriod,1781277764.494878,483.70064663887024
69,pract,9,targetPresented,1781277764.8029633,484.0087323188782
70,pract,9,blankDurationStart,1781277764.8113503,484.017121553421
71,pract,9,maskStart,1781277764.9778166,484.1835858821869
72,pract,9,maskEnd,1781277765.4775293,484.6832985877991
73,pract,9,RightResponse,1781277765.8482914,485.0540623664856
74,pract,9,EndOfTrial,1781277765.852203,485.0579741001129
75,pract,9,FeedbackPeriodStarted,1781277765.8605483,485.0663197040558
76,pract,10,startFixDisplay,1781277767.3634925,486.5692641735077
77,pract,10,startFixPeriod,1781277767.3676207,486.5733919143677
78,pract,10,targetPresented,1781277767.5675328,486.77330446243286
79,pract,10,blankDurationStart,1781277767.575862,486.78163170814514
80,pract,10,maskStart,1781277767.7007644,486.90653586387634
81,pract,10,maskEnd,1781277768.200406,487.40617966651917
82,pract,10,LeftResponse,1781277768.5836725,487.789443731308
83,pract,10,EndOfTrial,1781277768.587563,487.7933340072632
84,pract,10,FeedbackPeriodStarted,1781277768.60007,487.8058412075043
85,pract,11,startFixDisplay,1781277770.1072567,489.31302547454834
86,pract,11,startFixPeriod,1781277770.1697195,489.3754913806915
87,pract,11,targetPresented,1781277770.4860675,489.69183921813965
88,pract,11,blankDurationStart,1781277770.4943922,489.700163602829
89,pract,11,maskStart,1781277770.5777187,489.7834904193878
90,pract,11,maskEnd,1781277771.0773122,490.28308367729187
91,pract,11,RightResponse,1781277771.4480975,490.65386867523193
92,pract,11,EndOfTrial,1781277771.4519076,490.65767669677734
93,pract,11,FeedbackPeriodStarted,1781277771.456117,490.6618883609772
94,pract,12,startFixDisplay,1781277772.9591124,492.164883852005
95,pract,12,startFixPeriod,1781277772.9632518,492.16902327537537
96,pract,12,targetPresented,1781277773.2922394,492.49801087379456
97,pract,12,blankDurationStart,1781277773.300564,492.5063352584839
98,pract,12,maskStart,1781277773.3629637,492.5687336921692
99,pract,12,maskEnd,1781277773.862641,493.0684130191803
100,pract,12,LeftResponse,1781277774.245887,493.451655626297
101,pract,12,EndOfTrial,1781277774.2498991,493.4556682109833
102,pract,12,FeedbackPeriodStarted,1781277774.254068,493.4598400592804
103,pract,13,startFixDisplay,1781277775.761068,494.9668393135071
104,pract,13,startFixPeriod,1781277775.7652996,494.971070766449
105,pract,13,targetPresented,1781277776.1441958,495.3499674797058
106,pract,13,blankDurationStart,1781277776.1525216,495.3582935333252
107,pract,13,maskStart,1781277776.1940558,495.3998258113861
108,pract,13,maskEnd,1781277776.6937642,495.8995358943939
109,pract,13,RightResponse,1781277777.1768863,496.3826549053192
110,pract,13,EndOfTrial,1781277777.1808178,496.3865900039673
111,pract,13,FeedbackPeriodStarted,1781277777.193297,496.3990685939789
112,pract,14,startFixDisplay,1781277778.7796102,497.9853835105896
113,pract,14,startFixPeriod,1781277778.783851,497.9896228313446
114,pract,14,targetPresented,1781277779.1335425,498.3393144607544
115,pract,15,startFixDisplay,1781277782.6599631,501.86573481559753
116,pract,15,startFixPeriod,1781277782.688977,501.89474630355835
117,pract,15,targetPresented,1781277782.9389,502.14466977119446
118,pract,15,blankDurationStart,1781277782.9472141,502.15298557281494
119,pract,15,maskStart,1781277783.0179641,502.22373390197754
120,pract,15,maskEnd,1781277783.5176024,502.7233741283417
121,pract,15,RightResponse,1781277784.1339028,503.3396716117859
122,pract,15,EndOfTrial,1781277784.137918,503.34368681907654
123,pract,15,FeedbackPeriodStarted,1781277784.1420035,503.347772359848
124,pract,16,startFixDisplay,1781277785.6450818,504.8508529663086
125,pract,16,startFixPeriod,1781277785.64927,504.85504174232483
