trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.345,,,100.0
2,pract,L,,,0.397,,,90.0
3,pract,R,,,0.285,,,80.0
4,pract,R,,,0.272,,,70.0
5,pract,L,,,0.331,,,60.0
6,pract,R,,,0.252,,,50.0
7,pract,R,,,0.392,,,40.0
8,pract,L,,,0.227,,,30.0
9,pract,R,,,0.345,,,20.0
10,pract,R,,,0.246,,,15.0
11,pract,L,,,0.319,,,10.0
12,pract,R,,,0.253,,,8.0
13,pract,R,,,0.247,,,6.0
14,pract,R,,,0.288,,,4.0
15,pract,R,,,0.362,,,2.0
16,pract,L,,,0.391,,,4.0
17,pract,L,,,0.22,,,6.0
18,pract,R,,,0.307,,,8.0
19,pract,R,,,0.226,,,6.0
20,pract,R,,,0.32,,,4.0
21,pract,R,,,0.32,,,2.0
22,pract,L,,,0.362,,,4.0
23,pract,R,,,0.215,,,6.0
24,pract,R,,,0.291,,,4.0
25,pract,R,,,0.333,,,2.0
