trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.334,,,100.0
2,pract,L,,,0.291,,,90.0
3,pract,L,,,0.297,,,80.0
4,pract,L,,,0.288,,,70.0
5,pract,R,,,0.274,,,60.0
6,pract,L,,,0.278,,,50.0
7,pract,L,,,0.313,,,40.0
8,pract,L,,,0.267,,,30.0
9,pract,R,,,0.289,,,20.0
10,pract,L,,,0.25,,,15.0
11,pract,L,,,0.388,,,10.0
12,pract,R,,,0.258,,,12.0
13,pract,L,,,0.347,,,17.0
14,pract,R,,,0.314,,,12.0
15,pract,L,,,0.237,,,17.0
16,pract,L,,,0.204,,,12.0
17,pract,R,,,0.298,,,7.0
18,pract,L,,,0.218,,,9.0
19,pract,L,,,0.268,,,11.0
20,pract,L,,,0.237,,,6.0
21,pract,L,,,0.316,,,4.0
22,pract,L,,,0.285,,,2.0
23,pract,R,,,0.264,,,4.0
24,pract,L,,,0.293,,,6.0
25,pract,L,,,0.226,,,4.0
