,Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher
0,latency,3824.7441520467864,4,956.1860380116966,4.622894693246457,0.0022289369126508624,0.009625363228117937,0.10258735414425176,0.6308110274457819,False,0.26757434741973135,0.010438541136762005
1,Error,14892.2697368421,72,206.8370796783625,,,,,,,,
