trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.299,,,100.0
2,pract,R,,,0.384,,,110.0
3,pract,L,,,0.279,,,100.0
4,pract,R,,,0.388,,,90.0
5,pract,R,,,0.203,,,80.0
6,pract,L,,,0.259,,,70.0
7,pract,L,,,0.34,,,60.0
8,pract,R,,,0.227,,,50.0
9,pract,L,,,0.366,,,40.0
10,pract,L,,,0.235,,,30.0
11,pract,R,,,0.322,,,20.0
12,pract,L,,,0.22,,,15.0
13,pract,R,,,0.207,,,10.0
14,pract,L,,,0.385,,,8.0
15,pract,R,,,0.214,,,6.0
16,pract,R,,,0.253,,,4.0
17,pract,R,,,0.393,,,2.0
18,pract,R,,,0.339,,,4.0
19,pract,L,,,0.213,,,2.0
20,pract,R,,,0.314,,,4.0
21,pract,R,,,0.344,,,2.0
22,pract,L,,,0.289,,,4.0
23,pract,R,,,0.37,,,6.0
24,pract,R,,,0.323,,,4.0
25,pract,R,,,0.287,,,2.0
