,startTime,stopTime,whichEye
0,0.005,0.234,L
0,0.005,0.234,R
1,2.362,2.432,R
1,2.362,2.432,L
2,4.104,4.229,L
2,4.104,4.229,R
3,5.329,5.458,R
3,5.329,5.458,L
4,7.69,9.711,L
4,7.69,9.711,R
5,10.269,11.241,L
5,10.269,11.241,R
6,13.983,14.195,R
6,13.983,14.195,L
7,15.164,15.712,L
7,15.164,15.712,R
8,17.638,18.683,R
8,17.638,18.683,L
9,20.597,20.676,R
9,20.597,20.676,L
10,21.239,21.324,R
10,21.239,21.324,L
11,25.776,25.94,R
11,25.776,25.94,L
12,27.385,27.511,L
12,27.385,27.511,R
13,27.594,27.733,L
13,27.594,27.733,R
14,28.055,29.083,R
14,28.055,29.083,L
15,32.03,32.152,L
15,32.03,32.152,R
16,34.69,34.974,L
16,34.69,34.974,R
17,35.249,35.281,R
17,35.249,35.281,L
18,35.698,35.782,R
18,35.698,35.782,L
19,36.817,36.925,R
19,36.817,36.925,L
20,37.152,37.241,R
20,37.152,37.241,L
21,37.376,37.486,L
21,37.376,37.486,R
22,39.052,40.62,L
22,39.052,40.62,R
23,41.072,41.268,R
23,41.072,41.268,L
24,41.477,41.547,L
24,41.477,41.547,R
25,42.17,42.253,R
25,42.17,42.253,L
26,42.66,42.738,L
26,42.66,42.738,R
27,44.589,44.728,R
27,44.589,44.728,L
28,44.881,44.974,R
28,44.881,44.974,L
29,46.215,46.325,L
29,46.215,46.325,R
30,46.54,46.618,R
30,46.54,46.618,L
31,47.071,47.174,L
31,47.071,47.174,R
32,49.425,49.993,L
32,49.425,49.993,R
33,53.95,54.059,L
33,53.95,54.059,R
34,55.631,55.737,R
34,55.631,55.737,L
35,56.378,56.525,L
35,56.378,56.525,R
36,57.325,58.051,R
36,57.325,58.051,L
37,59.42,59.536,L
37,59.42,59.536,R
38,60.727,60.837,L
38,60.727,60.837,R
39,62.172,62.284,R
39,62.172,62.284,L
40,62.966,63.073,L
40,62.966,63.073,R
41,66.813,66.9,R
41,66.813,66.9,L
42,68.614,68.735,L
42,68.614,68.735,R
43,72.834,72.946,R
43,72.834,72.946,L
44,74.105,74.24,L
44,74.105,74.24,R
45,77.917,78.039,R
45,77.917,78.039,L
46,78.468,78.579,L
46,78.468,78.579,R
47,82.34,82.431,R
47,82.34,82.431,L
48,82.82,82.942,L
48,82.82,82.942,R
49,86.408,86.533,R
49,86.408,86.533,L
50,86.871,86.978,L
50,86.871,86.978,R
51,94.028,94.095,R
51,94.028,94.095,L
52,94.357,94.486,L
52,94.357,94.486,R
53,95.043,95.488,R
53,95.043,95.488,L
54,96.839,96.942,L
54,96.839,96.942,R
55,98.483,98.594,R
55,98.483,98.594,L
56,99.292,99.386,L
56,99.292,99.386,R
57,99.681,99.806,R
57,99.681,99.806,L
58,100.469,100.581,L
58,100.469,100.581,R
59,100.911,101.053,R
59,100.911,101.053,L
60,101.385,101.505,L
60,101.385,101.505,R
61,102.883,102.994,R
61,102.883,102.994,L
62,104.426,104.532,L
62,104.426,104.532,R
63,105.012,105.109,L
63,105.012,105.109,R
64,107.112,107.185,R
64,107.112,107.185,L
65,107.274,107.4,L
65,107.274,107.4,R
66,108.058,108.16,R
66,108.058,108.16,L
67,108.518,108.622,L
67,108.518,108.622,R
68,109.762,109.881,R
68,109.762,109.881,L
69,113.578,113.706,L
69,113.578,113.706,R
70,113.912,114.026,R
70,113.912,114.026,L
71,114.3,114.408,R
71,114.3,114.408,L
72,117.226,117.351,L
72,117.226,117.351,R
73,124.453,124.792,R
73,124.453,124.792,L
74,127.981,128.14,L
74,127.981,128.14,R
75,128.297,128.437,R
75,128.297,128.437,L
76,131.598,131.741,L
76,131.598,131.741,R
77,135.365,135.715,R
77,135.365,135.715,L
78,138.934,139.085,L
78,138.934,139.085,R
79,139.182,139.315,R
79,139.182,139.315,L
80,141.986,142.194,L
80,141.986,142.194,R
81,142.451,142.612,R
81,142.451,142.612,L
82,145.48,145.63,L
82,145.48,145.63,R
83,145.811,145.942,R
83,145.811,145.942,L
84,148.63,148.786,L
84,148.63,148.786,R
85,148.991,149.127,R
85,148.991,149.127,L
86,151.732,152.112,L
86,151.732,152.112,R
87,154.92,155.124,R
87,154.92,155.124,L
88,155.292,155.429,L
88,155.292,155.429,R
89,157.905,158.058,R
89,157.905,158.058,L
90,161.969,162.07,L
90,161.969,162.07,R
91,162.946,162.967,R
91,162.946,162.967,L
92,162.98,163.273,L
92,162.98,163.273,R
93,165.476,165.551,R
93,165.476,165.551,L
94,169.338,169.416,R
94,169.338,169.416,L
95,170.272,170.369,L
95,170.272,170.369,R
96,173.741,173.855,R
96,173.741,173.855,L
97,174.128,174.232,L
97,174.128,174.232,R
98,174.329,174.477,R
98,174.329,174.477,L
99,174.96,175.082,R
99,174.96,175.082,L
100,176.635,176.745,L
100,176.635,176.745,R
101,177.529,177.639,R
101,177.529,177.639,L
102,183.85,183.976,R
102,183.85,183.976,L
103,184.15,184.309,L
103,184.15,184.309,R
104,188.162,188.3,R
104,188.162,188.3,L
105,188.413,188.761,L
105,188.413,188.761,R
106,188.966,189.111,R
106,188.966,189.111,L
107,192.853,193.104,L
107,192.853,193.104,R
108,193.222,193.389,R
108,193.222,193.389,L
109,193.516,193.686,L
109,193.516,193.686,R
110,197.3,197.452,R
110,197.3,197.452,L
111,197.556,197.7,L
111,197.556,197.7,R
112,200.619,200.79,R
112,200.619,200.79,L
113,204.958,205.28,L
113,204.958,205.28,R
114,205.347,205.496,R
114,205.347,205.496,L
115,210.006,210.157,L
115,210.006,210.157,R
116,210.411,210.542,R
116,210.411,210.542,L
117,214.986,215.263,L
117,214.986,215.263,R
118,215.412,215.563,R
118,215.412,215.563,L
119,215.812,215.916,L
119,215.812,215.916,R
120,220.73,220.851,L
120,220.73,220.851,R
121,221.013,221.129,R
121,221.013,221.129,L
122,222.003,222.117,L
122,222.003,222.117,R
123,222.331,222.441,R
123,222.331,222.441,L
124,225.151,225.523,R
124,225.151,225.523,L
125,225.815,225.941,L
125,225.815,225.941,R
126,229.471,229.814,R
126,229.471,229.814,L
127,230.081,230.199,R
127,230.081,230.199,L
128,233.995,234.13,L
128,233.995,234.13,R
129,234.269,234.403,R
129,234.269,234.403,L
130,238.978,239.436,L
130,238.978,239.436,R
131,239.66,239.799,R
131,239.66,239.799,L
132,243.649,243.933,L
132,243.649,243.933,R
133,244.041,244.189,R
133,244.041,244.189,L
134,248.812,248.973,L
