,startTime,stopTime,whichEye
0,0.005,0.339,L
0,0.005,0.339,R
1,3.44,3.508,R
1,3.44,3.508,L
2,5.507,5.589,L
2,5.507,5.589,R
3,5.66,5.767,L
3,5.66,5.767,R
4,7.777,7.866,R
4,7.777,7.866,L
5,8.657,8.745,L
5,8.657,8.745,R
6,8.842,8.867,R
6,8.842,8.867,L
7,9.844,9.972,L
7,9.844,9.972,R
8,10.501,10.936,R
8,10.501,10.936,L
9,10.988,11.258,L
9,10.988,11.258,R
10,17.504,17.543,R
10,17.504,17.543,L
11,19.456,19.533,L
11,19.456,19.533,R
12,22.455,23.626,R
12,22.455,23.626,L
13,25.178,25.298,L
13,25.178,25.298,R
14,27.485,27.641,R
14,27.485,27.641,L
15,29.177,29.347,L
15,29.177,29.347,R
16,29.459,29.64,R
16,29.459,29.64,L
17,29.718,75.534,L
17,29.718,75.534,R
18,77.152,77.287,R
18,77.152,77.287,L
19,77.446,77.604,L
19,77.446,77.604,R
20,78.203,79.379,R
20,78.203,79.379,L
21,80.193,81.43,L
21,80.193,81.43,R
22,166.87,172.251,R
22,166.87,172.251,L
23,175.201,175.318,L
23,175.201,175.318,R
24,184.541,184.71,R
24,184.541,184.71,L
25,185.484,185.695,L
25,185.484,185.695,R
26,186.495,186.674,R
26,186.495,186.674,L
27,187.851,187.976,L
27,187.851,187.976,R
28,190.092,190.956,R
28,190.092,190.956,L
29,193.644,193.792,L
29,193.644,193.792,R
30,194.97,195.042,R
30,194.97,195.042,L
31,198.665,198.784,L
31,198.665,198.784,R
32,200.953,201.075,R
32,200.953,201.075,L
33,203.606,203.685,L
33,203.606,203.685,R
34,204.791,205.895,R
34,204.791,205.895,L
35,315.887,315.983,L
35,315.887,315.983,R
36,394.784,395.029,R
36,394.784,395.029,L
37,395.193,395.36,L
37,395.193,395.36,R
38,395.562,395.725,R
38,395.562,395.725,L
39,395.776,618.305,L
39,395.776,618.305,R
40,618.686,618.814,R
40,618.686,618.814,L
41,619.144,619.682,L
41,619.144,619.682,R
42,620.183,620.32,R
42,620.183,620.32,L
43,620.854,620.873,L
43,620.854,620.873,R
44,622.211,622.873,R
44,622.211,622.873,L
45,623.189,623.209,L
45,623.189,623.209,R
46,624.358,624.381,R
46,624.358,624.381,L
47,625.022,625.218,L
47,625.022,625.218,R
48,625.364,625.388,R
48,625.364,625.388,L
49,625.468,631.803,L
49,625.468,631.803,R
50,633.008,633.126,R
50,633.008,633.126,L
51,634.691,685.783,L
51,634.691,685.783,R
52,689.807,690.239,R
52,689.807,690.239,L
53,699.799,700.25,L
53,699.799,700.25,R
54,702.821,702.863,R
54,702.821,702.863,L
55,866.011,866.508,L
55,866.011,866.508,R
56,867.005,867.131,R
56,867.005,867.131,L
57,867.406,1143.477,L
57,867.406,1143.477,R
58,1143.78,1143.89,R
58,1143.78,1143.89,L
59,1145.447,1152.05,L
59,1145.447,1152.05,R
60,1152.379,1152.491,R
60,1152.379,1152.491,L
61,1153.133,1153.267,L
61,1153.133,1153.267,R
62,1156.006,1156.126,R
62,1156.006,1156.126,L
63,1156.293,1161.205,L
63,1156.293,1161.205,R
64,1161.943,1162.513,L
64,1161.943,1162.513,R
65,1165.583,1246.666,R
65,1165.583,1246.666,L
66,1259.795,1261.094,L
66,1259.795,1261.094,R
67,1416.488,1416.529,R
67,1416.488,1416.529,L
68,1418.869,1418.953,L
68,1418.869,1418.953,R
69,1419.965,1420.06,R
69,1419.965,1420.06,L
70,1422.067,1422.148,L
70,1422.067,1422.148,R
71,1438.394,1438.459,R
71,1438.394,1438.459,L
72,1438.638,1438.781,L
72,1438.638,1438.781,R
73,1439.971,1440.125,R
73,1439.971,1440.125,L
74,1440.616,1456.838,L
74,1440.616,1456.838,R
75,1458.221,1493.749,R
75,1458.221,1493.749,L
76,1507.55,1508.731,L
76,1507.55,1508.731,R
77,1512.281,1512.391,R
77,1512.281,1512.391,L
78,1514.159,1514.297,L
78,1514.159,1514.297,R
79,1632.083,1632.213,R
79,1632.083,1632.213,L
80,1632.728,1632.809,L
80,1632.728,1632.809,R
81,1639.413,1639.528,R
81,1639.413,1639.528,L
82,1639.949,1640.051,L
