trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.322,,,100.0
2,pract,R,,,0.333,,,90.0
3,pract,L,,,0.25,,,80.0
4,pract,L,,,0.287,,,70.0
5,pract,L,,,0.283,,,60.0
6,pract,L,,,0.223,,,50.0
7,pract,R,,,0.387,,,40.0
8,pract,L,,,0.389,,,30.0
9,pract,R,,,0.21,,,20.0
10,pract,L,,,0.307,,,25.0
11,pract,L,,,0.213,,,20.0
12,pract,L,,,0.311,,,15.0
13,pract,R,,,0.247,,,10.0
14,pract,L,,,0.309,,,8.0
15,pract,L,,,0.386,,,6.0
16,pract,L,,,0.292,,,4.0
17,pract,R,,,0.385,,,2.0
18,pract,L,,,0.336,,,4.0
19,pract,R,,,0.356,,,6.0
20,pract,L,,,0.201,,,8.0
21,pract,R,,,0.344,,,6.0
22,pract,R,,,0.318,,,8.0
23,pract,R,,,0.273,,,10.0
24,pract,R,,,0.258,,,12.0
25,pract,L,,,0.373,,,17.0
