,startTime,stopTime,whichEye
0,1.168,1.245,L
0,1.168,1.245,R
1,2.242,2.345,R
1,2.242,2.345,L
2,3.32,3.907,L
2,3.32,3.907,R
3,4.565,4.662,R
3,4.565,4.662,L
4,4.821,5.086,R
4,4.821,5.086,L
5,5.659,6.048,L
5,5.659,6.048,R
6,7.303,7.355,R
6,7.303,7.355,L
7,7.676,7.79,L
7,7.676,7.79,R
8,8.319,8.773,R
8,8.319,8.773,L
9,9.235,9.367,L
9,9.235,9.367,R
10,12.487,12.563,R
10,12.487,12.563,L
11,16.914,17.006,L
11,16.914,17.006,R
12,17.518,17.608,L
12,17.518,17.608,R
13,17.68,17.818,R
13,17.68,17.818,L
14,18.3,19.017,L
14,18.3,19.017,R
15,19.612,20.389,R
15,19.612,20.389,L
16,21.546,21.662,L
16,21.546,21.662,R
17,23.142,23.259,L
17,23.142,23.259,R
18,24.451,24.556,R
18,24.451,24.556,L
19,26.719,26.813,R
19,26.719,26.813,L
20,27.251,27.359,R
20,27.251,27.359,L
21,27.817,28.128,L
21,27.817,28.128,R
22,29.139,29.785,R
22,29.139,29.785,L
23,30.062,30.308,R
23,30.062,30.308,L
24,32.989,33.443,L
24,32.989,33.443,R
25,34.44,34.48,L
25,34.44,34.48,R
26,34.728,34.796,L
26,34.728,34.796,R
27,34.992,35.782,R
27,34.992,35.782,L
28,36.805,36.894,R
28,36.805,36.894,L
29,38.089,40.673,L
29,38.089,40.673,R
30,40.781,41.201,L
30,40.781,41.201,R
31,43.301,43.836,R
31,43.301,43.836,L
32,44.328,44.784,L
32,44.328,44.784,R
33,45.409,46.151,L
33,45.409,46.151,R
34,46.761,46.836,R
34,46.761,46.836,L
35,46.922,47.016,L
35,46.922,47.016,R
36,47.156,47.269,R
36,47.156,47.269,L
37,47.6,47.926,L
37,47.6,47.926,R
38,48.566,48.693,R
38,48.566,48.693,L
39,48.801,50.308,L
39,48.801,50.308,R
40,50.989,51.252,R
40,50.989,51.252,L
41,51.382,51.486,L
41,51.382,51.486,R
42,52.406,52.682,R
42,52.406,52.682,L
43,52.876,53.009,L
43,52.876,53.009,R
44,53.491,53.62,R
44,53.491,53.62,L
45,55.337,55.407,L
45,55.337,55.407,R
46,55.501,56.677,L
46,55.501,56.677,R
47,57.024,57.303,R
47,57.024,57.303,L
48,57.981,58.268,R
48,57.981,58.268,L
49,58.875,59.358,L
49,58.875,59.358,R
50,59.572,59.699,R
50,59.572,59.699,L
51,60.577,62.394,R
51,60.577,62.394,L
52,64.15,64.264,L
52,64.15,64.264,R
53,65.398,65.542,R
53,65.398,65.542,L
54,66.617,66.697,R
54,66.617,66.697,L
55,69.038,69.121,R
55,69.038,69.121,L
56,69.745,69.843,L
56,69.745,69.843,R
57,71.815,71.921,L
57,71.815,71.921,R
58,72.044,72.426,L
58,72.044,72.426,R
59,74.262,74.569,L
59,74.262,74.569,R
60,77.752,77.855,R
60,77.752,77.855,L
61,81.611,81.689,L
61,81.611,81.689,R
62,83.964,84.003,L
62,83.964,84.003,R
63,84.231,84.327,R
63,84.231,84.327,L
64,88.793,88.917,R
64,88.793,88.917,L
65,92.1,92.212,L
65,92.1,92.212,R
66,95.644,95.712,R
66,95.644,95.712,L
67,97.19,97.309,R
67,97.19,97.309,L
68,98.811,98.921,L
68,98.811,98.921,R
69,101.913,102.169,R
69,101.913,102.169,L
70,102.344,102.604,L
70,102.344,102.604,R
71,103.299,103.398,R
71,103.299,103.398,L
72,104.915,104.997,L
72,104.915,104.997,R
73,106.069,106.17,R
73,106.069,106.17,L
74,107.798,108.069,L
74,107.798,108.069,R
75,109.11,109.198,L
75,109.11,109.198,R
76,109.371,109.501,R
76,109.371,109.501,L
77,110.998,111.104,L
77,110.998,111.104,R
78,112.284,112.386,L
78,112.284,112.386,R
79,114.221,114.301,R
79,114.221,114.301,L
80,115.344,115.454,L
80,115.344,115.454,R
81,118.626,118.746,R
81,118.626,118.746,L
82,119.219,119.306,L
82,119.219,119.306,R
83,120.25,120.389,R
83,120.25,120.389,L
84,121.435,121.71,L
84,121.435,121.71,R
85,124.345,124.479,R
85,124.345,124.479,L
86,127.196,127.403,L
86,127.196,127.403,R
87,132.05,132.137,R
87,132.05,132.137,L
88,132.734,133.84,L
88,132.734,133.84,R
89,134.531,134.63,R
89,134.531,134.63,L
90,135.46,135.599,L
90,135.46,135.599,R
91,135.708,135.823,R
91,135.708,135.823,L
92,137.429,137.525,L
92,137.429,137.525,R
93,138.206,138.973,R
93,138.206,138.973,L
94,139.245,139.265,R
94,139.245,139.265,L
95,140.648,140.729,L
95,140.648,140.729,R
96,141.762,141.902,L
