,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular
8837,0.205,0.218,0.243,11.32903423317303,631.149472152627,-10.294080018997192,-574.41259765625,-9.78336775302887,-461.0009765625,-4.730637717992067,-261.5335998535156,-5.227772533893585,-264.24114990234375,L,False,True
8838,0.253,0.258,0.265,0.8430156873682683,82.33069902996722,-0.7951278686523438,-79.31095123291016,-0.7480335235595703,-71.63455963134766,-0.28008413314819336,-22.09337043762207,-0.2168893814086914,-21.25381851196289,L,False,True
8839,0.353,0.366,0.389,7.653631084194881,453.2665071950785,-7.5081586837768555,-438.6727600097656,-6.809617042541504,-373.66412353515625,-1.4851336479187012,-114.09091186523438,-0.8087377548217773,-69.63849639892578,L,False,True
8840,0.399,0.404,0.41,0.6900041931968275,77.744585804226,-0.6561641693115234,-74.3804702758789,-0.7319316864013672,-82.0152816772461,-0.21343469619750977,-22.622251510620117,0.032689571380615234,1.3028137683868408,L,False,True
8841,0.53,0.541,0.554,4.017298410855249,275.7617188139472,-3.983875274658203,-273.5933837890625,-3.6276655197143555,-240.77297973632812,-0.5171308517456055,-34.5135612487793,-0.03772878646850586,5.054370403289795,L,False,True
8842,0.572,0.574,0.577,0.15561507434535352,21.287440141403028,-0.14642906188964844,-19.989551544189453,-0.1938800811767578,-27.05925941467285,0.052674293518066406,7.3193535804748535,0.0804433822631836,10.421156883239746,L,False,True
8843,0.71,0.718,0.726,1.0101947485068694,87.37312886890345,-1.0010528564453125,-86.84803771972656,-1.101125717163086,-97.87676239013672,-0.13559722900390625,-9.564621925354004,0.09045934677124023,1.347740650177002,L,False,True
3,0.881,0.893,0.915,3.671236457517076,209.26184218985688,3.6680355072021484,209.04379272460938,3.8362960815429688,272.6236267089844,0.1532731056213379,9.550461769104004,0.02762603759765625,4.47714376449585,L,False,True
4,0.922,0.924,0.926,0.10998947228070378,17.353240934473863,0.099090576171875,16.696733474731445,0.06964302062988281,12.516077041625977,0.047736167907714844,4.728008270263672,0.08540201187133789,11.371696472167969,L,False,True
5,1.058,1.07,1.09,6.845519135059067,395.5305720402669,6.785985946655273,392.78289794921875,6.104448318481445,393.8724670410156,0.9008479118347168,46.540611267089844,0.20117807388305664,-12.295578002929688,L,False,True
6,1.099,1.103,1.11,0.7077739858378772,73.82773788211028,0.6523771286010742,67.05801391601562,0.4683055877685547,44.13641357421875,0.27449607849121094,30.882966995239258,0.2638840675354004,21.674535751342773,L,False,True
7,1.152,1.154,1.158,0.22633530512885297,27.459515406243046,0.17689990997314453,22.512584686279297,-0.09085941314697266,-10.113235473632812,0.1411881446838379,15.72286605834961,0.16352128982543945,9.079222679138184,L,True,False
9,1.322,1.333,1.351,5.582928221984203,371.88418401943375,5.580049991607666,370.9912109375,5.606293082237244,375.1134338378906,0.17924737930297852,25.75592613220215,0.3121671676635742,17.51050567626953,L,False,True
8846,1.353,1.357,1.361,0.34471952110514087,38.8687316997669,-0.33739161491394043,-37.659942626953125,-0.1878587007522583,-21.163223266601562,-0.07069969177246094,-9.618057250976562,-0.025187015533447266,-4.5109357833862305,L,False,True
10,1.363,1.367,1.374,0.4403237028144698,45.99550082715995,0.4337589740753174,45.38269805908203,0.43151021003723145,43.036251068115234,0.07575035095214844,7.483101844787598,0.18139123916625977,17.08405876159668,L,False,True
11,1.482,1.494,1.514,6.859356912295067,423.45720362567954,6.8524298667907715,422.4700622558594,6.506675720214844,409.88043212890625,0.30819177627563477,28.897228240966797,0.4638552665710449,47.71433639526367,L,False,True
8847,1.516,1.52,1.524,0.4725200205169127,56.31610808179426,-0.4709968566894531,-56.274681091308594,-0.15676593780517578,-17.53346061706543,0.037909507751464844,2.159698486328125,0.037842750549316406,5.343663692474365,L,False,True
12,1.525,1.53,1.536,0.6587965449930158,73.393404361112,0.6541204452514648,73.09235382080078,0.45754432678222656,46.47618103027344,0.0783538818359375,6.640754222869873,0.07317352294921875,7.111114501953125,L,False,True
13,1.727,1.739,1.761,6.311564762431703,348.3474157445284,6.307732582092285,347.7597961425781,6.724543571472168,362.45367431640625,0.2199077606201172,20.224891662597656,0.5026922225952148,23.976184844970703,L,False,True
14,1.772,1.777,1.783,0.5343332355746666,56.220166914348134,0.5123624801635742,53.49159622192383,0.4728069305419922,46.294342041015625,0.15164661407470703,17.301916122436523,0.13396263122558594,14.040059089660645,L,False,True
8849,1.903,1.917,1.944,13.981785449267306,580.2237392740998,-13.977919697761536,-569.424072265625,-14.063961863517761,-458.1610412597656,0.3287632465362549,111.42626953125,-0.1946258544921875,100.4707260131836,L,False,True
8850,1.956,1.96,1.967,0.9503711985696512,105.22371229810575,-0.9312005043029785,-103.24616241455078,-1.1121620535850525,-126.48185729980469,-0.18992376327514648,-20.304176330566406,-0.13150858879089355,-14.668187141418457,L,False,True
16,1.969,1.971,1.978,0.2545450837614465,27.63532133316441,0.25130128860473633,27.438640594482422,0.22606641054153442,27.964452743530273,-0.04050755500793457,-3.291198492050171,-0.10366034507751465,-7.263412952423096,L,False,True
8851,2.07,2.082,2.099,7.199166605190328,479.3226363212916,-7.195396661758423,-474.0733947753906,-6.929643332958221,-405.0213928222656,0.23295211791992188,70.74324035644531,0.18714356422424316,94.43202209472656,L,False,True
8852,2.111,2.116,2.124,0.8623646777300458,92.02930578629046,-0.862360954284668,-91.99750518798828,-0.7849845886230469,-77.79576110839844,-0.002534151077270508,-2.4191243648529053,0.15941309928894043,15.067100524902344,L,False,True
22,2.54,2.552,2.569,6.667194901013546,389.07179858229574,6.667155742645264,387.7419128417969,6.448522567749023,436.96331787109375,-0.022850632667541504,32.14146041870117,-0.20568346977233887,4.824048042297363,L,False,True
8855,2.57,2.574,2.578,0.7412607375484991,80.93534146386024,-0.712155818939209,-78.69084167480469,-0.32381200790405273,-40.52742004394531,-0.2056734561920166,-18.92831039428711,0.17776215076446533,13.851418495178223,L,False,True
23,2.58,2.585,2.594,0.9527160131884486,86.4027806758788,0.936467170715332,84.57404327392578,0.6781964302062988,61.42242431640625,0.17520570755004883,17.682525634765625,-0.0025392770767211914,-4.893852233886719,L,False,True
24,2.628,2.631,2.636,0.21449726776884429,24.12075885718474,0.19404172897338867,22.106510162353516,0.1231222152709961,14.367753028869629,0.09141600131988525,9.649518966674805,0.015237569808959961,4.525091648101807,L,False,True
25,2.731,2.744,2.769,11.128870408415088,548.8826273214479,11.128592014312744,546.1345825195312,10.568259239196777,586.8762817382812,-0.07871687412261963,54.855777740478516,-0.3860582709312439,29.730093002319336,L,False,True
26,2.779,2.783,2.79,1.011212182641926,115.6987424170174,1.0096678733825684,115.3406982421875,0.8794083595275879,91.94132232666016,0.055864691734313965,9.095181465148926,-0.010159730911254883,0.9005793333053589,L,False,True
27,2.917,2.928,2.949,6.567501210331878,420.60457744698,6.567143440246582,419.0238037109375,6.492166996002197,428.1958923339844,0.06855058670043945,36.43161392211914,-0.30987876653671265,15.65248966217041,L,False,True
8859,2.95,2.953,2.958,0.6787793255493023,80.9487906521633,-0.6782045364379883,-80.94876098632812,-0.41208362579345703,-53.72545623779297,-0.02792811393737793,0.06930242478847504,0.08890479803085327,9.652567863464355,L,False,True
28,2.959,2.963,2.969,0.7246280265843759,87.42770750985599,0.7243432998657227,87.41320037841797,0.6226730346679688,65.88398742675781,-0.020311594009399414,-1.5926204919815063,-0.002540111541748047,5.7497172355651855,L,False,True
8861,3.147,3.162,3.188,12.255161506006196,614.0507605057305,-12.254719339311123,-613.80224609375,-11.922109365463257,-504.63201904296875,0.10410308837890625,17.468233108520508,0.09651494026184082,75.98438262939453,L,False,True
