,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc
0,pract,0,StartPractice,1781874939.4034417,218.44089770317078
1,pract,1,startFixDisplay,1781874939.4131472,218.45060467720032
2,pract,1,startFixPeriod,1781874939.5965412,218.6339988708496
3,pract,1,targetPresented,1781874939.9295797,218.96703553199768
4,pract,1,blankDurationStart,1781874939.938022,218.97548007965088
5,pract,1,maskStart,1781874940.3542724,219.39172840118408
6,pract,1,maskEnd,1781874940.8537247,219.8911828994751
7,pract,1,RightResponse,1781874941.407585,220.44503951072693
8,pract,1,EndOfTrial,1781874941.4117193,220.44917678833008
9,pract,1,FeedbackPeriodStarted,1781874941.4324534,220.46990823745728
10,pract,2,startFixDisplay,1781874942.956319,221.9937767982483
11,pract,2,startFixPeriod,1781874942.9603522,221.9978096485138
12,pract,2,targetPresented,1781874943.3436396,222.38109755516052
13,pract,2,blankDurationStart,1781874943.3519874,222.38944578170776
14,pract,2,maskStart,1781874943.7265394,222.76399493217468
15,pract,2,maskEnd,1781874944.226255,223.26371049880981
16,pract,2,EndOfTrial,1781874946.2246327,225.26209020614624
17,pract,2,FeedbackPeriodStarted,1781874946.2328696,225.27032732963562
18,pract,3,startFixDisplay,1781874947.736024,226.77348113059998
19,pract,3,startFixPeriod,1781874947.740068,226.77752494812012
20,pract,3,targetPresented,1781874948.077362,227.1148178577423
21,pract,3,blankDurationStart,1781874948.0857615,227.12321996688843
22,pract,3,maskStart,1781874948.5020888,227.5395450592041
23,pract,3,maskEnd,1781874949.0014951,228.0389530658722
24,pract,3,EndOfTrial,1781874951.0000625,230.03751730918884
25,pract,3,FeedbackPeriodStarted,1781874951.0040967,230.04155158996582
26,pract,4,startFixDisplay,1781874952.5069664,231.5444211959839
27,pract,4,startFixPeriod,1781874952.6695817,231.70703959465027
28,pract,4,targetPresented,1781874953.0277333,232.0651912689209
29,pract,4,blankDurationStart,1781874953.036119,232.07357716560364
30,pract,4,maskStart,1781874953.4941232,232.53158164024353
31,pract,4,maskEnd,1781874953.993479,233.03093719482422
32,pract,4,RightResponse,1781874955.6300843,234.66753911972046
33,pract,4,EndOfTrial,1781874955.633968,234.6714255809784
34,pract,4,FeedbackPeriodStarted,1781874955.6379983,234.67545294761658
35,pract,5,startFixDisplay,1781874957.1409004,236.17835521697998
36,pract,5,startFixPeriod,1781874957.1452603,236.18271780014038
37,pract,5,targetPresented,1781874957.4992428,236.536700963974
38,pract,5,blankDurationStart,1781874957.5076032,236.54506182670593
39,pract,5,maskStart,1781874957.9239817,236.9614384174347
40,pract,5,maskEnd,1781874958.4235795,237.46103763580322
41,pract,5,RightResponse,1781874959.676773,238.7142300605774
42,pract,5,EndOfTrial,1781874959.680817,238.7182743549347
43,pract,5,FeedbackPeriodStarted,1781874959.6848521,238.722309589386
44,pract,6,startFixDisplay,1781874961.1877863,240.2252435684204
45,pract,6,startFixPeriod,1781874961.1920798,240.22953748703003
46,pract,6,targetPresented,1781874961.4086275,240.44608521461487
47,pract,6,blankDurationStart,1781874961.4170492,240.45450711250305
48,pract,6,maskStart,1781874961.791648,240.82910633087158
49,pract,6,maskEnd,1781874962.2912393,241.32869505882263
50,pract,6,LeftResponse,1781874963.0074599,242.04491448402405
51,pract,6,EndOfTrial,1781874963.011464,242.04892230033875
52,pract,6,FeedbackPeriodStarted,1781874963.020018,242.0574758052826
53,pract,7,startFixDisplay,1781874964.5226088,243.56006360054016
54,pract,7,startFixPeriod,1781874964.527065,243.5645227432251
55,pract,7,targetPresented,1781874964.7892685,243.8267240524292
56,pract,7,blankDurationStart,1781874964.7976594,243.83511757850647
57,pract,7,maskStart,1781874965.1308053,244.16826343536377
58,pract,7,maskEnd,1781874965.6303303,244.6677885055542
59,pract,7,LeftResponse,1781874967.116832,246.1542890071869
60,pract,7,EndOfTrial,1781874967.1208355,246.15829348564148
61,pract,7,FeedbackPeriodStarted,1781874967.129102,246.1665599346161
62,pract,8,startFixDisplay,1781874968.6321616,247.66961884498596
63,pract,8,startFixPeriod,1781874968.6360996,247.6735541820526
64,pract,8,targetPresented,1781874968.965322,248.0027801990509
65,pract,8,blankDurationStart,1781874968.9736462,248.01110410690308
66,pract,8,maskStart,1781874969.26494,248.30239820480347
67,pract,8,maskEnd,1781874969.7644641,248.80192232131958
68,pract,8,RightResponse,1781874970.364006,249.4014608860016
69,pract,8,EndOfTrial,1781874970.3682013,249.40565824508667
70,pract,8,FeedbackPeriodStarted,1781874970.3765132,249.41397047042847
71,pract,9,startFixDisplay,1781874971.8878129,250.92527055740356
72,pract,9,startFixPeriod,1781874971.8919544,250.92941188812256
73,pract,9,targetPresented,1781874972.2376559,251.27511405944824
74,pract,9,blankDurationStart,1781874972.2460058,251.2834644317627
75,pract,9,maskStart,1781874972.495796,251.53325200080872
76,pract,9,maskEnd,1781874972.995392,252.03284764289856
77,pract,9,LeftResponse,1781874973.645152,252.68260884284973
78,pract,9,EndOfTrial,1781874973.6490228,252.68648052215576
79,pract,9,FeedbackPeriodStarted,1781874973.6572227,252.69467735290527
80,pract,10,startFixDisplay,1781874975.1643617,254.20181703567505
81,pract,10,startFixPeriod,1781874975.1686468,254.2061047554016
82,pract,10,targetPresented,1781874975.4934437,254.53089952468872
83,pract,10,blankDurationStart,1781874975.5018327,254.53929090499878
