trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.336,,,100.0
2,pract,L,,,0.386,,,90.0
3,pract,L,,,0.34,,,100.0
4,pract,R,,,0.36,,,110.0
5,pract,R,,,0.358,,,100.0
6,pract,L,,,0.219,,,90.0
7,pract,L,,,0.266,,,80.0
8,pract,R,,,0.333,,,70.0
9,pract,L,,,0.348,,,60.0
10,pract,L,,,0.328,,,50.0
11,pract,R,,,0.305,,,40.0
12,pract,R,,,0.304,,,30.0
13,pract,L,,,0.245,,,20.0
14,pract,R,,,0.276,,,15.0
15,pract,L,,,0.378,,,10.0
16,pract,L,,,0.31,,,8.0
17,pract,R,,,0.393,,,6.0
18,pract,L,,,0.257,,,4.0
19,pract,L,,,0.34,,,6.0
20,pract,R,,,0.21,,,4.0
21,pract,L,,,0.252,,,2.0
22,pract,R,,,0.23,,,4.0
23,pract,L,,,0.258,,,2.0
24,pract,L,,,0.212,,,4.0
25,pract,R,,,0.238,,,2.0
