trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.291,,,100.0
2,pract,L,,,0.287,,,90.0
3,pract,L,,,0.332,,,80.0
4,pract,R,,,0.302,,,70.0
5,pract,L,,,0.209,,,60.0
6,pract,R,,,0.219,,,70.0
7,pract,R,,,0.382,,,60.0
8,pract,L,,,0.224,,,50.0
9,pract,R,,,0.31,,,40.0
10,pract,L,,,0.247,,,30.0
11,pract,L,,,0.399,,,20.0
12,pract,R,,,0.292,,,15.0
13,pract,L,,,0.232,,,10.0
14,pract,L,,,0.224,,,12.0
15,pract,L,,,0.241,,,7.0
16,pract,R,,,0.293,,,5.0
17,pract,L,,,0.213,,,3.0
18,pract,L,,,0.216,,,1.0
19,pract,R,,,0.279,,,3.0
20,pract,R,,,0.397,,,1.0
21,pract,R,,,0.319,,,3.0
22,pract,R,,,0.343,,,1.0
23,pract,R,,,0.321,,,3.0
24,pract,L,,,0.366,,,1.0
25,pract,L,,,0.38,,,3.0
