,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc
0,pract,0,StartPractice,1781856418.5965786,183.55494213104248
1,pract,1,startFixDisplay,1781856418.6087604,183.56712675094604
2,pract,1,startFixPeriod,1781856418.6838098,183.64217591285706
3,pract,1,targetPresented,1781856418.9169805,183.8753468990326
4,pract,1,blankDurationStart,1781856418.9251907,183.88355469703674
5,pract,1,maskStart,1781856419.3415823,184.29994893074036
6,pract,1,maskEnd,1781856419.8411126,184.79947900772095
7,pract,1,RightResponse,1781856420.6950223,185.65338778495789
8,pract,1,EndOfTrial,1781856420.6989076,185.6572711467743
9,pract,1,FeedbackPeriodStarted,1781856420.7155077,185.67387127876282
10,pract,2,startFixDisplay,1781856422.2268453,187.18521118164062
11,pract,2,startFixPeriod,1781856422.4183602,187.37672519683838
12,pract,2,targetPresented,1781856422.7431266,187.70149278640747
13,pract,2,blankDurationStart,1781856422.7514873,187.7098515033722
14,pract,2,maskStart,1781856423.1262426,188.08460664749146
15,pract,2,maskEnd,1781856423.625625,188.58398938179016
16,pract,2,EndOfTrial,1781856425.6532578,190.6116235256195
17,pract,2,FeedbackPeriodStarted,1781856425.661694,190.62005996704102
18,pract,3,startFixDisplay,1781856427.164543,192.12290906906128
19,pract,3,startFixPeriod,1781856427.2645607,192.2229266166687
20,pract,3,targetPresented,1781856427.4894528,192.44781947135925
21,pract,3,blankDurationStart,1781856427.497758,192.45612478256226
22,pract,3,maskStart,1781856427.9141192,192.87248587608337
23,pract,3,maskEnd,1781856428.4135973,193.37196397781372
24,pract,3,LeftResponse,1781856428.5511396,193.50950264930725
25,pract,3,EndOfTrial,1781856428.5552208,193.51358652114868
26,pract,3,FeedbackPeriodStarted,1781856428.5592487,193.51761198043823
27,pract,4,startFixDisplay,1781856430.0664353,195.02480125427246
28,pract,4,startFixPeriod,1781856430.070638,195.0290012359619
29,pract,4,targetPresented,1781856430.44546,195.40382409095764
30,pract,4,blankDurationStart,1781856430.4538984,195.4122657775879
31,pract,4,maskStart,1781856430.828531,195.7868959903717
32,pract,4,maskEnd,1781856431.32821,196.2865765094757
33,pract,4,LeftResponse,1781856432.052646,197.01100897789001
34,pract,4,EndOfTrial,1781856432.0567,197.015065908432
35,pract,4,FeedbackPeriodStarted,1781856432.064944,197.02331018447876
