trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.236,,,100.0
2,pract,R,,,0.329,,,90.0
3,pract,L,,,0.225,,,100.0
4,pract,L,,,0.375,,,90.0
5,pract,R,,,0.387,,,80.0
6,pract,L,,,0.283,,,70.0
7,pract,L,,,0.208,,,60.0
8,pract,L,,,0.276,,,50.0
9,pract,R,,,0.28,,,40.0
10,pract,L,,,0.326,,,30.0
11,pract,L,,,0.254,,,20.0
12,pract,L,,,0.224,,,25.0
13,pract,R,,,0.22,,,20.0
14,pract,L,,,0.332,,,15.0
15,pract,R,,,0.333,,,10.0
16,pract,R,,,0.363,,,8.0
17,pract,R,,,0.386,,,10.0
18,pract,R,,,0.264,,,8.0
19,pract,L,,,0.202,,,6.0
20,pract,R,,,0.352,,,4.0
21,pract,L,,,0.26,,,2.0
22,pract,L,,,0.216,,,4.0
23,pract,R,,,0.352,,,6.0
24,pract,R,,,0.342,,,4.0
25,pract,R,,,0.313,,,2.0
