,startTime,stopTime,whichEye
0,0.746,0.812,L
0,0.746,0.812,R
1,8.611,8.696,R
1,8.611,8.696,L
2,15.556,15.906,R
2,15.556,15.906,L
3,17.741,17.821,L
3,17.741,17.821,R
4,17.981,18.104,R
4,17.981,18.104,L
5,20.799,20.924,L
5,20.799,20.924,R
6,25.817,25.911,L
6,25.817,25.911,R
7,29.613,29.713,R
7,29.613,29.713,L
8,30.223,30.256,L
8,30.223,30.256,R
9,31.35,38.455,R
9,31.35,38.455,L
10,39.256,39.41,L
10,39.256,39.41,R
11,39.911,39.952,R
11,39.911,39.952,L
12,40.098,40.187,L
12,40.098,40.187,R
13,40.838,40.896,R
13,40.838,40.896,L
14,41.546,41.618,L
14,41.546,41.618,R
15,42.066,42.269,R
15,42.066,42.269,L
16,47.181,47.283,L
16,47.181,47.283,R
17,49.029,49.121,R
17,49.029,49.121,L
18,51.833,52.293,L
18,51.833,52.293,R
19,113.999,114.083,R
19,113.999,114.083,L
20,135.609,135.716,R
20,135.609,135.716,L
21,135.899,136.447,L
21,135.899,136.447,R
22,136.662,136.785,R
22,136.662,136.785,L
23,136.885,137.004,L
23,136.885,137.004,R
24,137.616,137.729,R
24,137.616,137.729,L
25,137.883,138.811,L
25,137.883,138.811,R
26,139.043,139.203,R
26,139.043,139.203,L
27,145.897,145.968,L
27,145.897,145.968,R
28,149.803,149.932,R
28,149.803,149.932,L
29,156.747,157.642,L
29,156.747,157.642,R
30,159.177,159.325,R
30,159.177,159.325,L
31,161.028,161.407,L
31,161.028,161.407,R
32,162.115,162.141,R
32,162.115,162.141,L
33,172.199,172.524,L
33,172.199,172.524,R
34,188.637,188.815,L
34,188.637,188.815,R
35,196.825,196.986,R
35,196.825,196.986,L
36,197.331,197.47,L
36,197.331,197.47,R
37,200.508,200.635,R
37,200.508,200.635,L
38,220.496,220.625,L
38,220.496,220.625,R
39,245.215,245.322,R
39,245.215,245.322,L
40,264.203,264.308,R
40,264.203,264.308,L
41,275.33,275.447,L
41,275.33,275.447,R
42,275.794,275.911,R
42,275.794,275.911,L
43,282.308,282.378,L
43,282.308,282.378,R
44,295.182,295.277,R
44,295.182,295.277,L
45,316.222,316.297,L
45,316.222,316.297,R
46,345.255,345.326,R
46,345.255,345.326,L
47,345.595,345.715,L
47,345.595,345.715,R
48,354.386,354.514,R
48,354.386,354.514,L
49,358.617,358.739,L
49,358.617,358.739,R
50,368.861,369.083,R
50,368.861,369.083,L
51,369.822,369.877,L
51,369.822,369.877,R
52,369.947,375.453,R
52,369.947,375.453,L
53,376.015,376.166,L
53,376.015,376.166,R
54,376.275,376.4,R
54,376.275,376.4,L
55,376.541,376.659,L
55,376.541,376.659,R
56,377.011,377.698,R
56,377.011,377.698,L
57,378.302,378.746,L
57,378.302,378.746,R
58,379.015,380.896,R
58,379.015,380.896,L
59,382.254,382.364,L
59,382.254,382.364,R
60,383.523,383.625,R
60,383.523,383.625,L
61,385.86,386.26,L
61,385.86,386.26,R
62,386.29,389.872,R
62,386.29,389.872,L
63,390.082,391.315,R
63,390.082,391.315,L
64,393.556,393.636,L
64,393.556,393.636,R
65,393.755,393.788,R
65,393.755,393.788,L
66,393.91,394.014,R
66,393.91,394.014,L
67,396.49,396.578,L
67,396.49,396.578,R
68,396.711,402.854,R
68,396.711,402.854,L
69,403.519,404.435,L
69,403.519,404.435,R
70,408.13,408.474,R
70,408.13,408.474,L
71,418.426,419.372,L
71,418.426,419.372,R
72,419.527,419.659,R
72,419.527,419.659,L
73,420.868,421.748,L
73,420.868,421.748,R
74,422.269,422.377,R
74,422.269,422.377,L
75,422.516,423.04,R
75,422.516,423.04,L
76,423.5,423.612,L
76,423.5,423.612,R
77,423.963,424.111,R
77,423.963,424.111,L
78,428.833,428.95,R
78,428.833,428.95,L
79,429.273,429.426,L
79,429.273,429.426,R
80,429.675,431.874,R
80,429.675,431.874,L
81,432.096,432.279,L
81,432.096,432.279,R
82,432.615,432.741,R
82,432.615,432.741,L
83,436.671,436.783,L
83,436.671,436.783,R
84,440.77,440.873,L
84,440.77,440.873,R
85,448.449,448.572,R
85,448.449,448.572,L
86,457.876,457.983,L
86,457.876,457.983,R
87,477.242,477.341,R
87,477.242,477.341,L
88,477.794,477.922,L
88,477.794,477.922,R
89,522.008,522.188,R
89,522.008,522.188,L
90,526.576,526.677,L
90,526.576,526.677,R
91,534.116,534.202,R
91,534.116,534.202,L
92,545.268,545.332,R
92,545.268,545.332,L
93,545.576,545.724,L
93,545.576,545.724,R
94,552.618,552.731,R
94,552.618,552.731,L
95,562.073,562.142,L
95,562.073,562.142,R
96,562.632,562.749,R
96,562.632,562.749,L
97,566.123,566.231,L
97,566.123,566.231,R
98,592.91,593.062,R
98,592.91,593.062,L
99,607.422,607.533,L
99,607.422,607.533,R
100,613.141,613.239,R
100,613.141,613.239,L
101,613.421,613.518,L
101,613.421,613.518,R
102,613.698,613.828,R
102,613.698,613.828,L
103,614.054,614.136,L
103,614.054,614.136,R
104,614.195,614.354,R
104,614.195,614.354,L
105,614.567,614.71,L
105,614.567,614.71,R
106,614.878,628.572,R
106,614.878,628.572,L
107,629.753,629.894,L
107,629.753,629.894,R
108,630.652,630.79,R
108,630.652,630.79,L
109,631.162,631.521,L
109,631.162,631.521,R
110,631.641,631.768,R
110,631.641,631.768,L
111,631.911,632.774,L
111,631.911,632.774,R
112,633.666,634.386,R
112,633.666,634.386,L
113,645.395,645.501,L
113,645.395,645.501,R
114,645.809,645.901,R
114,645.809,645.901,L
115,646.335,646.428,L
115,646.335,646.428,R
116,646.882,646.958,R
116,646.882,646.958,L
117,647.112,647.191,L
117,647.112,647.191,R
118,647.727,647.84,R
118,647.727,647.84,L
119,648.149,648.302,L
119,648.149,648.302,R
120,648.689,649.269,R
120,648.689,649.269,L
121,649.986,650.144,L
121,649.986,650.144,R
122,650.344,651.896,R
122,650.344,651.896,L
123,652.089,652.24,L
123,652.089,652.24,R
124,652.665,652.785,L
124,652.665,652.785,R
125,653.275,653.627,R
125,653.275,653.627,L
126,654.764,655.677,L
126,654.764,655.677,R
127,656.364,656.451,R
127,656.364,656.451,L
128,656.928,658.077,L
128,656.928,658.077,R
129,672.25,672.375,R
129,672.25,672.375,L
130,690.324,690.454,L
130,690.324,690.454,R
131,722.12,722.25,R
131,722.12,722.25,L
132,722.685,722.767,L
132,722.685,722.767,R
133,725.969,726.051,R
133,725.969,726.051,L
134,748.616,748.916,L
134,748.616,748.916,R
135,751.158,751.21,R
135,751.158,751.21,L
136,751.569,751.673,L
136,751.569,751.673,R
137,752.792,752.918,R
137,752.792,752.918,L
138,753.2,753.3,L
138,753.2,753.3,R
139,780.263,780.394,R
139,780.263,780.394,L
140,793.794,793.884,L
140,793.794,793.884,R
141,794.143,794.25,R
141,794.143,794.25,L
142,794.613,794.643,L
142,794.613,794.643,R
143,794.875,794.974,R
143,794.875,794.974,L
144,797.26,797.372,L
144,797.26,797.372,R
145,825.956,826.047,R
145,825.956,826.047,L
146,826.264,826.42,R
146,826.264,826.42,L
147,833.682,833.795,L
147,833.682,833.795,R
148,850.485,925.067,R
148,850.485,925.067,L
149,925.656,925.801,R
149,925.656,925.801,L
150,926.39,927.261,L
150,926.39,927.261,R
151,930.775,930.934,R
151,930.775,930.934,L
152,933.676,982.614,L
152,933.676,982.614,R
153,982.849,983.206,R
153,982.849,983.206,L
154,983.904,984.038,L
154,983.904,984.038,R
155,991.717,991.854,L
155,991.717,991.854,R
156,995.919,996.025,R
156,995.919,996.025,L
157,997.802,997.956,L
157,997.802,997.956,R
158,1001.335,1001.466,L
158,1001.335,1001.466,R
159,1003.616,1003.699,R
159,1003.616,1003.699,L
160,1005.727,1005.861,L
160,1005.727,1005.861,R
161,1006.197,1006.332,R
161,1006.197,1006.332,L
162,1006.514,1008.067,L
162,1006.514,1008.067,R
163,1008.451,1008.576,R
163,1008.451,1008.576,L
164,1016.12,1016.267,L
164,1016.12,1016.267,R
165,1029.672,1029.809,R
165,1029.672,1029.809,L
166,1053.824,1053.895,R
166,1053.824,1053.895,L
167,1054.467,1054.608,L
167,1054.467,1054.608,R
168,1066.398,1066.536,L
168,1066.398,1066.536,R
169,1095.792,1095.915,R
169,1095.792,1095.915,L
170,1107.571,1107.659,L
170,1107.571,1107.659,R
171,1120.489,1120.617,L
171,1120.489,1120.617,R
172,1120.9,1121.053,R
172,1120.9,1121.053,L
173,1127.558,1127.705,L
173,1127.558,1127.705,R
174,1134.191,1134.331,R
174,1134.191,1134.331,L
175,1152.787,1152.937,L
175,1152.787,1152.937,R
176,1180.504,1180.61,R
176,1180.504,1180.61,L
177,1183.877,1184.006,L
177,1183.877,1184.006,R
178,1188.999,1189.089,R
178,1188.999,1189.089,L
