trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.376,,,100.0
2,pract,R,,,0.391,,,110.0
3,pract,L,,,0.379,,,100.0
4,pract,L,,,0.376,,,90.0
5,pract,L,,,0.356,,,80.0
6,pract,R,,,0.4,,,70.0
7,pract,L,,,0.272,,,60.0
8,pract,R,,,0.357,,,50.0
9,pract,L,,,0.326,,,40.0
10,pract,L,,,0.205,,,30.0
11,pract,R,,,0.38,,,20.0
12,pract,L,,,0.375,,,25.0
13,pract,L,,,0.328,,,20.0
14,pract,R,,,0.202,,,15.0
15,pract,L,,,0.399,,,10.0
16,pract,R,,,0.39,,,12.0
17,pract,L,,,0.244,,,17.0
18,pract,R,,,0.303,,,22.0
19,pract,R,,,0.357,,,17.0
20,pract,R,,,0.26,,,12.0
21,pract,R,,,0.233,,,7.0
22,pract,L,,,0.368,,,9.0
23,pract,L,,,0.373,,,7.0
24,pract,R,,,0.315,,,9.0
25,pract,R,,,0.275,,,7.0
