,startTime,stopTime,whichEye
0,1.14,1.234,L
0,1.14,1.234,R
1,3.86,3.958,R
1,3.86,3.958,L
2,4.632,4.743,L
2,4.632,4.743,R
3,4.853,4.99,R
3,4.853,4.99,L
4,5.938,6.041,L
4,5.938,6.041,R
5,6.244,6.888,R
5,6.244,6.888,L
6,7.939,8.036,L
6,7.939,8.036,R
7,8.281,8.403,R
7,8.281,8.403,L
8,8.785,8.891,L
8,8.785,8.891,R
9,9.643,9.737,R
9,9.643,9.737,L
10,10.011,10.141,L
10,10.011,10.141,R
11,11.367,11.459,R
11,11.367,11.459,L
12,11.601,11.71,L
12,11.601,11.71,R
13,12.055,12.169,R
13,12.055,12.169,L
14,13.63,13.735,L
14,13.63,13.735,R
15,14.444,14.527,R
15,14.444,14.527,L
16,15.501,15.588,L
16,15.501,15.588,R
17,16.921,17.037,R
17,16.921,17.037,L
18,17.904,17.995,L
18,17.904,17.995,R
19,18.932,19.032,R
19,18.932,19.032,L
20,19.824,19.939,L
20,19.824,19.939,R
21,20.584,21.413,R
21,20.584,21.413,L
22,21.532,21.639,L
22,21.532,21.639,R
23,21.836,21.936,R
23,21.836,21.936,L
24,22.331,22.434,L
24,22.331,22.434,R
25,23.372,23.474,L
25,23.372,23.474,R
26,24.636,24.726,R
26,24.636,24.726,L
27,25.619,25.724,L
27,25.619,25.724,R
28,26.121,26.513,L
28,26.121,26.513,R
29,27.254,27.368,L
29,27.254,27.368,R
30,28.076,28.177,R
30,28.076,28.177,L
31,28.435,28.899,L
31,28.435,28.899,R
32,29.733,29.856,R
32,29.733,29.856,L
33,30.589,30.709,R
33,30.589,30.709,L
34,30.856,31.003,L
34,30.856,31.003,R
35,31.562,31.68,R
35,31.562,31.68,L
36,32.22,32.321,R
36,32.22,32.321,L
37,33.149,33.271,L
37,33.149,33.271,R
38,33.668,33.776,L
38,33.668,33.776,R
39,34.285,34.387,R
39,34.285,34.387,L
40,34.822,34.965,L
40,34.822,34.965,R
41,35.604,35.725,L
41,35.604,35.725,R
42,36.15,36.276,R
42,36.15,36.276,L
43,36.548,37.138,L
43,36.548,37.138,R
44,37.243,37.367,R
44,37.243,37.367,L
45,37.85,37.977,L
45,37.85,37.977,R
46,38.659,38.778,R
46,38.659,38.778,L
47,43.55,43.67,R
47,43.55,43.67,L
48,43.748,43.886,L
48,43.748,43.886,R
49,45.431,45.561,R
49,45.431,45.561,L
50,46.768,46.877,L
50,46.768,46.877,R
51,48.209,48.328,R
51,48.209,48.328,L
52,48.477,48.938,L
52,48.477,48.938,R
53,51.551,51.657,R
53,51.551,51.657,L
54,52.095,52.206,L
54,52.095,52.206,R
55,52.359,52.49,R
55,52.359,52.49,L
56,52.668,52.794,L
56,52.668,52.794,R
57,54.996,55.136,R
57,54.996,55.136,L
58,57.889,58.027,L
58,57.889,58.027,R
59,60.8,60.942,R
59,60.8,60.942,L
60,61.658,61.807,L
60,61.658,61.807,R
61,63.566,63.683,R
61,63.566,63.683,L
62,64.236,64.382,L
62,64.236,64.382,R
63,66.393,66.558,L
63,66.393,66.558,R
64,69.702,69.816,L
64,69.702,69.816,R
65,72.695,72.792,L
65,72.695,72.792,R
66,72.889,72.994,L
66,72.889,72.994,R
67,73.739,73.843,R
67,73.739,73.843,L
68,74.06,74.09,R
68,74.06,74.09,L
69,74.165,76.018,L
69,74.165,76.018,R
70,79.443,79.557,R
70,79.443,79.557,L
71,79.703,79.852,R
71,79.703,79.852,L
72,80.093,80.232,R
72,80.093,80.232,L
73,83.102,83.224,L
73,83.102,83.224,R
74,84.091,84.244,L
74,84.091,84.244,R
75,86.339,86.464,R
75,86.339,86.464,L
76,86.613,86.779,L
76,86.613,86.779,R
77,89.393,89.494,L
77,89.393,89.494,R
78,89.917,90.043,L
78,89.917,90.043,R
79,91.947,92.063,R
79,91.947,92.063,L
80,93.233,93.364,L
80,93.233,93.364,R
81,95.077,95.187,R
81,95.077,95.187,L
82,95.973,96.107,L
82,95.973,96.107,R
83,98.04,98.175,R
83,98.04,98.175,L
84,98.907,99.024,L
84,98.907,99.024,R
85,101.07,101.173,R
85,101.07,101.173,L
86,101.31,101.889,L
86,101.31,101.889,R
87,103.458,103.588,R
87,103.458,103.588,L
88,107.95,108.077,L
88,107.95,108.077,R
89,111.816,111.954,R
89,111.816,111.954,L
90,113.753,113.779,L
90,113.753,113.779,R
91,116.216,116.309,R
91,116.216,116.309,L
92,116.403,116.578,L
92,116.403,116.578,R
93,127.906,128.035,R
93,127.906,128.035,L
94,132.741,132.848,L
94,132.741,132.848,R
95,134.431,134.546,R
95,134.431,134.546,L
96,134.755,134.895,L
96,134.755,134.895,R
97,136.401,136.556,R
97,136.401,136.556,L
98,136.891,137.038,L
98,136.891,137.038,R
99,137.264,137.422,R
99,137.264,137.422,L
100,138.708,138.811,L
100,138.708,138.811,R
101,139.776,140.08,R
101,139.776,140.08,L
102,140.269,141.7,L
102,140.269,141.7,R
103,141.808,141.939,R
103,141.808,141.939,L
104,142.353,142.47,R
104,142.353,142.47,L
105,143.355,143.477,L
105,143.355,143.477,R
106,144.076,144.534,R
106,144.076,144.534,L
107,145.83,145.93,L
107,145.83,145.93,R
108,146.118,146.282,L
108,146.118,146.282,R
109,147.233,147.348,R
109,147.233,147.348,L
110,148.058,148.174,L
110,148.058,148.174,R
111,148.869,148.975,R
111,148.869,148.975,L
112,149.187,149.308,R
112,149.187,149.308,L
113,149.97,150.43,R
113,149.97,150.43,L
114,150.778,150.896,L
114,150.778,150.896,R
115,151.561,151.68,R
115,151.561,151.68,L
116,152.497,152.609,R
116,152.497,152.609,L
117,153.425,153.54,R
117,153.425,153.54,L
118,154.284,154.402,R
118,154.284,154.402,L
119,155.139,155.253,L
119,155.139,155.253,R
120,155.715,156.53,R
120,155.715,156.53,L
121,158.48,158.601,L
121,158.48,158.601,R
122,159.817,160.383,R
122,159.817,160.383,L
123,161.308,161.414,L
123,161.308,161.414,R
124,162.527,162.63,R
124,162.527,162.63,L
125,166.769,166.88,L
125,166.769,166.88,R
126,167.468,167.636,R
126,167.468,167.636,L
127,168.264,168.415,L
127,168.264,168.415,R
128,168.77,168.92,R
128,168.77,168.92,L
129,169.51,169.665,L
129,169.51,169.665,R
130,175.271,175.427,R
130,175.271,175.427,L
