,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular
5399,0.184,0.192,0.225,5.278157901592848,187.58016970383008,-5.018908858299255,-186.56568908691406,-4.427928656339645,-126.6070556640625,-1.6338618993759155,-19.48239517211914,-1.4515206813812256,-25.0011043548584,L,False,True
1,0.228,0.228,0.237,0.164204653474451,16.755664728104012,0.15912103652954102,14.187256813049316,-0.12376785278320312,-4.2485575675964355,-0.0405421257019043,-8.91482162475586,-0.1089944839477539,-15.855368614196777,L,False,True
5400,0.337,0.348,0.38,7.820742541222462,303.00556470032126,-7.748890399932861,-297.6878967285156,-8.236214637756348,-294.8566589355469,-1.0576915740966797,-56.518035888671875,-1.0304672718048096,-45.60874938964844,L,False,True
5401,0.513,0.536,0.545,3.306279108002001,140.06441103131738,-3.2958126068115234,-138.74134826660156,-3.4358091354370117,-182.56747436523438,-0.26287031173706055,-19.20618438720703,-0.4448845386505127,-51.03746032714844,L,False,True
4,0.782,0.788,0.792,0.4710575771769016,48.92470112925885,0.3222980499267578,31.88239288330078,0.4420909881591797,46.51969909667969,-0.3435392379760742,-37.10982894897461,0.1289513111114502,11.102285385131836,L,True,False
5,1.088,1.1,1.13,7.936696169132941,328.6173356337055,7.928617000579834,328.4773254394531,8.792622566223145,404.271240234375,-0.3580203056335449,9.591660499572754,0.2220020294189453,34.419822692871094,L,False,True
6,1.198,1.201,1.205,0.21901963801819613,26.09140076016075,0.21725893020629883,26.020368576049805,0.16379070281982422,19.471996307373047,0.027715682983398438,1.9239575862884521,-0.022692203521728516,-1.3295042514801025,L,False,True
5403,1.248,1.251,1.254,0.22347770226838198,26.362706187209284,-0.22232437133789062,-26.274642944335938,0.09576272964477539,11.065361022949219,-0.022675037384033203,-2.153001546859741,0.15130329132080078,16.207849502563477,L,False,True
7,1.256,1.267,1.289,6.36523545966647,314.090667540164,6.357680559158325,311.2952880859375,6.591968297958374,336.4629211425781,0.31003284454345703,41.81137466430664,0.4694666862487793,44.316951751708984,L,False,True
5404,1.431,1.446,1.47,9.596537824273257,434.04136193393373,-9.5867178440094,-431.9455871582031,-9.480997860431671,-403.01104736328125,0.43402671813964844,42.601802825927734,0.18178892135620117,27.52458953857422,L,False,True
8,1.471,1.484,1.49,0.546007682177169,32.77233327040523,0.4941587448120117,30.62079620361328,0.3381509780883789,6.557364463806152,-0.23223161697387695,-11.678727149963379,-0.04798173904418945,-8.862357139587402,L,False,True
5405,1.679,1.691,1.71,2.331205230145419,145.01045562027238,-2.32468843460083,-145.00155639648438,-1.9082050323486328,-129.5267791748047,0.17418813705444336,-1.6065123081207275,0.3056645393371582,8.24592113494873,L,False,True
5406,1.899,1.91,1.932,3.2526648819690758,177.88202442613607,-3.2526168823242188,-176.77073669433594,-3.000215530395508,-188.53890991210938,-0.017670631408691406,19.852487564086914,-0.15912103652954102,18.100004196166992,L,False,True
10,2.105,2.113,2.137,2.7284342887916186,212.0106257074827,2.727919578552246,211.85499572753906,2.7278318405151367,270.6927185058594,-0.052994728088378906,8.121957778930664,-0.042946815490722656,17.620378494262695,L,False,True
11,2.301,2.321,2.35,6.794728358730318,289.1142352368967,6.791950941085815,289.0255432128906,7.2454752922058105,279.99200439453125,-0.19425725936889648,-7.16075325012207,0.09854888916015625,20.553695678710938,L,False,True
5407,2.501,2.512,2.535,2.622862664580737,191.36958073956194,-2.621016263961792,-191.18748474121094,-2.418874979019165,-190.93199157714844,0.09839868545532227,8.346383094787598,-0.33853721618652344,-33.73909378051758,L,False,True
12,2.732,2.742,2.766,2.4585253069143476,169.0197780764561,2.4582712650299072,168.4311981201172,2.3757412433624268,198.9477996826172,0.03534221649169922,14.09315013885498,0.2906374931335449,31.00973129272461,L,False,True
13,3.02,3.031,3.06,3.61126321498888,166.75173385356018,3.6105215549468994,166.46754455566406,3.265465348958969,192.17556762695312,-0.07318544387817383,9.731256484985352,-0.08593034744262695,19.23396110534668,L,False,True
14,3.257,3.265,3.285,2.748439853351748,224.1613382837417,2.7458781599998474,223.1665802001953,2.6233555376529694,224.1852264404297,0.1186370849609375,21.094621658325195,0.16930437088012695,34.48883819580078,L,False,True
8113,3.782,3.786,3.796,0.49682796849671346,40.08096915353811,-0.03770780563354492,-4.090614318847656,-0.0025267601013183594,2.4577579498291016,-0.4953949451446533,-39.871681213378906,-0.2807023525238037,-18.256134033203125,L,False,True
5412,3.984,3.999,4.022,7.9226732600134175,354.77122237855764,-7.527868270874023,-315.1279296875,-6.476881980895996,-257.9797058105469,2.4698078632354736,162.9632110595703,2.353399634361267,153.7314453125,L,False,True
18,4.027,4.033,4.041,0.4396797353261494,34.636365210745474,0.30468475818634033,25.620973587036133,-0.01522672176361084,-2.9298765659332275,-0.31699442863464355,-23.307584762573242,-0.2791365385055542,-14.41845989227295,L,False,True
2775,4.259,4.29,4.314,10.4797197586601,326.08020942825306,5.667782962322235,243.5498046875,5.641163468360901,218.57899475097656,8.81480360031128,216.82203674316406,7.963471412658691,216.7821044921875,L,False,True
2776,4.577,4.591,4.624,7.979408730027824,245.95278591964114,-5.774866461753845,-176.50448608398438,-6.004871129989624,-144.17576599121094,5.50653076171875,171.2861328125,5.851513385772705,173.7604522705078,L,False,True
8116,4.802,4.821,4.849,7.9511924564579015,305.8657314834072,5.531978607177734,243.3007049560547,5.96851921081543,277.9989929199219,-5.711276054382324,-185.3607635498047,-5.895941257476807,-217.74444580078125,L,False,True
20,5.067,5.073,5.078,0.76968891939422,79.84138521483543,0.07832860946655273,17.22606658935547,0.6293532848358154,67.25579833984375,0.32732152938842773,28.889142990112305,0.4430975914001465,43.02678680419922,R,True,False
4927,5.261,5.272,5.285,2.6937294386331536,163.74480402719897,-1.782881736755371,-95.98468780517578,-2.6802000999450684,-162.611572265625,1.815053939819336,93.2519760131836,0.2696399688720703,19.231157302856445,R,True,False
22,5.287,5.289,5.292,0.14594865908758092,19.825142893944243,0.10972929000854492,15.189621925354004,0.2856602668762207,35.33176040649414,-0.09623146057128906,-12.74015998840332,-0.028451919555664062,-3.541430711746216,L,False,True
23,5.302,5.304,5.307,0.15937560383488703,20.568716046292263,0.1570286750793457,19.578073501586914,-0.26344966888427734,-29.946752548217773,-0.027250289916992188,-6.306434631347656,0.03502655029296875,3.9004337787628174,L,False,True
5419,5.527,5.529,5.533,0.9494993456478881,122.36801774584484,-0.8829772472381592,-113.73068237304688,-0.145294189453125,-16.85765266418457,0.34914207458496094,45.158206939697266,-0.024158477783203125,-5.189774036407471,L,True,False
8118,5.539,5.54,5.543,1.130395101128143,96.79922291661289,1.0656629800796509,90.75463104248047,-0.2169628143310547,-39.06659698486328,-0.37703514099121094,-33.67026138305664,-0.09236717224121094,-16.130653381347656,L,False,True
5420,5.545,5.548,5.55,1.1073335376519338,94.52897362062872,-1.03777277469635,-87.8974609375,-0.11880874633789062,-18.741783142089844,0.38628387451171875,34.78165054321289,0.06159210205078125,5.2594313621521,L,False,True
27,5.551,5.554,5.558,1.2477507346310313,150.97126087975428,1.1723124980926514,141.9071807861328,-0.019069671630859375,-20.943090438842773,-0.427276611328125,-51.52352523803711,-0.07039260864257812,-9.619989395141602,L,False,True
8119,5.551,5.554,5.558,1.2477507346310313,150.97126087975428,1.1723124980926514,141.9071807861328,-0.019069671630859375,-20.943090438842773,-0.427276611328125,-51.52352523803711,-0.07039260864257812,-9.619989395141602,L,False,True
2784,5.562,5.563,5.566,0.11171625990429085,44.017768784279944,0.11165452003479004,-39.31479263305664,-0.13129043579101562,-7.416145324707031,0.0037136077880859375,19.796743392944336,0.1519603729248047,7.8079705238342285,L,False,True
2785,5.568,5.57,5.572,0.35699188144926,64.86219563352878,-0.2968637943267822,-54.775856018066406,-0.095123291015625,-22.464946746826172,0.19828033447265625,34.73773193359375,-0.013202667236328125,-3.380375385284424,L,False,True
5422,5.568,5.57,5.572,0.35699188144926,64.86219563352878,-0.2968637943267822,-54.775856018066406,-0.095123291015625,-22.464946746826172,0.19828033447265625,34.73773193359375,-0.013202667236328125,-3.380375385284424,L,False,True
28,5.578,5.585,5.593,1.3913945384907533,136.72310210990793,1.3403889536857605,129.4333953857422,-0.16223716735839844,-6.0047688484191895,-0.3732776641845703,-44.047733306884766,-0.028615951538085938,0.33987337350845337,L,False,True
8121,5.601,5.602,5.606,1.0834483942679725,131.00595660459402,1.0235418677330017,123.55416870117188,-0.18096542358398438,-19.173240661621094,-0.35527801513671875,-43.55373764038086,-0.019807815551757812,-3.301267623901367,L,False,True
2786,5.608,5.61,5.613,0.9489046120456359,116.35399241310436,-0.8864373564720154,-108.94100952148438,-0.06720352172851562,-12.583028793334961,0.33859825134277344,40.8669548034668,-0.022014617919921875,-2.681875467300415,L,False,True
30,5.614,5.617,5.621,1.2384762684408541,137.66751567804104,1.183605283498764,131.18218994140625,-0.09866714477539062,-11.37203598022461,-0.36455726623535156,-41.75617218017578,-0.022020339965820312,-2.2820992469787598,L,False,True
