trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.334,,,100.0
2,pract,L,,,0.314,,,90.0
3,pract,L,,,0.264,,,80.0
4,pract,R,,,0.241,,,70.0
5,pract,R,,,0.256,,,60.0
6,pract,L,,,0.291,,,50.0
7,pract,L,,,0.347,,,40.0
8,pract,L,,,0.255,,,30.0
9,pract,L,,,0.344,,,20.0
10,pract,L,,,0.284,,,15.0
11,pract,R,,,0.375,,,10.0
12,pract,L,,,0.29,,,8.0
13,pract,R,,,0.231,,,10.0
14,pract,L,,,0.201,,,8.0
15,pract,L,,,0.201,,,6.0
16,pract,R,,,0.235,,,4.0
17,pract,L,,,0.217,,,2.0
18,pract,L,,,0.345,,,4.0
19,pract,R,,,0.285,,,2.0
20,pract,L,,,0.385,,,4.0
21,pract,R,,,0.225,,,6.0
22,pract,R,,,0.324,,,4.0
23,pract,R,,,0.327,,,6.0
24,pract,R,,,0.221,,,4.0
25,pract,L,,,0.302,,,6.0
