trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.381,,,100.0
2,pract,L,,,0.212,,,110.0
3,pract,R,,,0.34,,,100.0
4,pract,L,,,0.375,,,90.0
5,pract,L,,,0.294,,,100.0
6,pract,L,,,0.209,,,110.0
7,pract,L,,,0.286,,,120.0
8,pract,R,,,0.34,,,130.0
9,pract,L,,,0.375,,,140.0
10,pract,R,,,0.301,,,150.0
11,pract,R,,,0.313,,,160.0
12,pract,R,,,0.338,,,150.0
13,pract,R,,,0.303,,,140.0
14,pract,L,,,0.298,,,130.0
15,pract,R,,,0.296,,,120.0
16,pract,R,,,0.342,,,110.0
17,pract,R,,,0.376,,,100.0
18,pract,L,,,0.351,,,90.0
19,pract,R,,,0.395,,,80.0
20,pract,L,,,0.247,,,70.0
21,pract,L,,,0.358,,,60.0
22,pract,L,,,0.258,,,50.0
23,pract,L,,,0.254,,,40.0
24,pract,L,,,0.364,,,30.0
25,pract,L,,,0.385,,,20.0
