trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.214,,,100.0
2,pract,R,,,0.229,,,90.0
3,pract,L,,,0.353,,,80.0
4,pract,L,,,0.35,,,70.0
5,pract,L,,,0.201,,,60.0
6,pract,L,,,0.321,,,50.0
7,pract,L,,,0.242,,,40.0
8,pract,L,,,0.31,,,30.0
9,pract,L,,,0.375,,,20.0
10,pract,L,,,0.361,,,15.0
11,pract,L,,,0.287,,,10.0
12,pract,R,,,0.283,,,8.0
13,pract,R,,,0.264,,,6.0
14,pract,R,,,0.235,,,4.0
15,pract,R,,,0.263,,,2.0
16,pract,L,,,0.238,,,4.0
17,pract,R,,,0.286,,,2.0
18,pract,L,,,0.322,,,4.0
19,pract,L,,,0.313,,,2.0
20,pract,L,,,0.298,,,4.0
21,pract,R,,,0.253,,,2.0
22,pract,R,,,0.266,,,4.0
23,pract,R,,,0.237,,,6.0
24,pract,R,,,0.306,,,4.0
25,pract,R,,,0.264,,,2.0
