,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular
8297,0.236,0.252,0.291,9.40642207009478,294.3952175984984,-8.838973432779312,-258.7857666015625,-9.080554634332657,-252.5283966064453,-3.217658281326294,-140.3512420654297,-2.330363154411316,-69.58599853515625,L,False,True
8298,0.452,0.466,0.496,5.056920204124305,228.25430460044197,-5.053918838500977,-227.71519470214844,-5.306504249572754,-237.50872802734375,-0.17420196533203125,-15.678573608398438,-0.2831728458404541,16.322389602661133,L,False,True
8299,0.665,0.676,0.697,2.0598012754934203,116.24002248173485,-2.0596466064453125,-116.11483764648438,-2.10489559173584,-135.8283233642578,0.025241851806640625,-5.3932647705078125,-0.15919923782348633,9.35291576385498,L,False,True
1,0.855,0.867,0.894,3.5340683067893868,205.66833543658615,3.522134780883789,205.52806091308594,3.80971622467041,223.7054901123047,-0.29018163681030273,-7.594759941101074,-0.2930307388305664,-28.729412078857422,L,False,True
2,1.079,1.088,1.105,2.038550018632054,142.3141180244311,2.037724494934082,142.30372619628906,2.0179996490478516,142.52346801757812,-0.05800914764404297,-1.7197964191436768,-0.0328221321105957,-12.874739646911621,L,False,True
4457,1.5,1.511,1.524,0.7789922981245357,41.38531693815263,-0.1128077507019043,-5.014103889465332,0.010025978088378906,6.174868583679199,0.7707810401916504,41.080448150634766,0.23485088348388672,13.887489318847656,L,False,True
8300,1.733,1.749,1.775,5.6900076708926015,248.3978488202912,-5.684741497039795,-248.29676818847656,-5.935497760772705,-275.5686950683594,0.24474763870239258,-7.085633754730225,-0.1768350601196289,3.055593490600586,L,False,True
8301,1.789,1.791,1.794,0.09064265100449195,12.454550028682439,-0.08975982666015625,-12.350545883178711,-0.104248046875,-12.937615394592285,-0.012619972229003906,-1.606185793876648,0.15153169631958008,19.92862319946289,L,False,True
5,2.257,2.272,2.308,11.109409700458272,368.5540491318348,11.104481816291809,367.7650451660156,11.343968033790588,382.21954345703125,0.3308587074279785,24.103084564208984,0.680112361907959,17.67681312561035,L,False,True
6,2.32,2.322,2.327,0.14859298707243337,18.119844401308626,0.13201725482940674,16.340463638305664,0.22091388702392578,24.399198532104492,0.06820058822631836,7.8305816650390625,-0.10375332832336426,-9.961544036865234,L,False,True
