trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.304,,,100.0
2,pract,L,,,0.269,,,90.0
3,pract,L,,,0.339,,,80.0
4,pract,R,,,0.302,,,70.0
5,pract,L,,,0.276,,,60.0
6,pract,R,,,0.281,,,50.0
7,pract,R,,,0.371,,,40.0
8,pract,R,,,0.229,,,30.0
9,pract,L,,,0.297,,,20.0
10,pract,R,,,0.355,,,15.0
11,pract,L,,,0.231,,,10.0
12,pract,L,,,0.389,,,12.0
13,pract,L,,,0.327,,,7.0
14,pract,R,,,0.374,,,9.0
15,pract,R,,,0.25,,,7.0
16,pract,L,,,0.233,,,5.0
17,pract,L,,,0.254,,,7.0
18,pract,L,,,0.345,,,9.0
19,pract,R,,,0.396,,,11.0
20,pract,R,,,0.202,,,6.0
21,pract,L,,,0.397,,,8.0
22,pract,L,,,0.207,,,10.0
23,pract,L,,,0.314,,,12.0
24,pract,R,,,0.303,,,17.0
25,pract,L,,,0.335,,,12.0
