trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.337,,,100.0
2,pract,L,,,0.214,,,90.0
3,pract,L,,,0.236,,,80.0
4,pract,L,,,0.302,,,70.0
5,pract,L,,,0.272,,,60.0
6,pract,R,,,0.23,,,70.0
7,pract,R,,,0.222,,,60.0
8,pract,R,,,0.215,,,50.0
9,pract,R,,,0.379,,,60.0
10,pract,L,,,0.264,,,70.0
11,pract,R,,,0.238,,,80.0
12,pract,R,,,0.267,,,90.0
13,pract,L,,,0.313,,,80.0
14,pract,L,,,0.226,,,90.0
15,pract,R,,,0.33,,,100.0
16,pract,R,,,0.241,,,110.0
17,pract,R,,,0.227,,,100.0
18,pract,L,,,0.258,,,90.0
19,pract,L,,,0.275,,,100.0
20,pract,L,,,0.205,,,90.0
21,pract,L,,,0.212,,,100.0
22,pract,L,,,0.371,,,90.0
23,pract,L,,,0.241,,,80.0
24,pract,R,,,0.274,,,90.0
25,pract,L,,,0.241,,,100.0
