trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.203,,,100.0
2,pract,L,,,0.255,,,110.0
3,pract,L,,,0.252,,,100.0
4,pract,L,,,0.269,,,90.0
5,pract,R,,,0.222,,,80.0
6,pract,L,,,0.287,,,70.0
7,pract,R,,,0.24,,,60.0
8,pract,L,,,0.264,,,50.0
9,pract,R,,,0.232,,,40.0
10,pract,R,,,0.368,,,30.0
11,pract,R,,,0.369,,,20.0
12,pract,R,,,0.29,,,15.0
13,pract,R,,,0.245,,,10.0
14,pract,L,,,0.255,,,8.0
15,pract,L,,,0.202,,,6.0
16,pract,L,,,0.233,,,8.0
17,pract,R,,,0.29,,,10.0
18,pract,R,,,0.395,,,8.0
19,pract,R,,,0.328,,,6.0
20,pract,L,,,0.319,,,8.0
21,pract,R,,,0.243,,,10.0
22,pract,R,,,0.254,,,8.0
23,pract,L,,,0.263,,,6.0
24,pract,L,,,0.399,,,8.0
25,pract,L,,,0.236,,,6.0
