trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,R,,,0.349,,,100.0
2,pract,R,,,0.212,,,110.0
3,pract,L,,,0.344,,,120.0
4,pract,R,,,0.368,,,110.0
5,pract,R,,,0.228,,,100.0
6,pract,L,,,0.387,,,90.0
7,pract,R,,,0.284,,,80.0
8,pract,L,,,0.27,,,70.0
9,pract,L,,,0.315,,,60.0
10,pract,L,,,0.248,,,50.0
11,pract,L,,,0.29,,,40.0
12,pract,L,,,0.365,,,50.0
13,pract,R,,,0.359,,,40.0
14,pract,R,,,0.24,,,30.0
15,pract,L,,,0.333,,,20.0
16,pract,R,,,0.258,,,15.0
17,pract,L,,,0.389,,,10.0
18,pract,R,,,0.244,,,8.0
19,pract,L,,,0.325,,,6.0
20,pract,L,,,0.337,,,8.0
21,pract,R,,,0.373,,,6.0
22,pract,R,,,0.237,,,4.0
23,pract,L,,,0.386,,,6.0
24,pract,R,,,0.385,,,8.0
25,pract,R,,,0.289,,,6.0
