trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.288,,,100.0
2,pract,L,,,0.387,,,90.0
3,pract,L,,,0.274,,,80.0
4,pract,L,,,0.272,,,70.0
5,pract,L,,,0.286,,,60.0
6,pract,L,,,0.357,,,50.0
7,pract,R,,,0.217,,,40.0
8,pract,R,,,0.309,,,30.0
9,pract,R,,,0.4,,,20.0
10,pract,R,,,0.344,,,15.0
11,pract,R,,,0.231,,,10.0
12,pract,L,,,0.287,,,8.0
13,pract,R,,,0.205,,,10.0
14,pract,L,,,0.311,,,12.0
15,pract,L,,,0.203,,,17.0
16,pract,R,,,0.396,,,22.0
17,pract,R,,,0.284,,,17.0
18,pract,L,,,0.304,,,12.0
19,pract,R,,,0.365,,,17.0
20,pract,R,,,0.224,,,12.0
21,pract,L,,,0.216,,,7.0
22,pract,R,,,0.343,,,9.0
23,pract,R,,,0.368,,,7.0
24,pract,L,,,0.213,,,5.0
25,pract,R,,,0.334,,,7.0
