,startTime,stopTime,whichEye
132,434.251,434.446,L
133,437.027,437.248,L
133,437.027,437.248,R
134,440.845,441.062,L
134,440.845,441.062,R
135,444.693,444.87,R
135,444.693,444.87,L
136,448.683,448.858,L
136,448.683,448.858,R
137,451.923,452.107,R
137,451.923,452.107,L
138,455.543,455.732,L
138,455.543,455.732,R
139,458.797,458.992,R
139,458.797,458.992,L
140,462.666,462.839,L
140,462.666,462.839,R
141,466.429,466.622,R
141,466.429,466.622,L
142,469.424,469.618,R
142,469.424,469.618,L
143,476.253,476.378,L
143,476.253,476.378,R
144,480.091,480.237,R
144,480.091,480.237,L
145,484.626,484.759,L
145,484.626,484.759,R
146,486.249,486.419,R
146,486.249,486.419,L
147,491.418,491.592,L
147,491.418,491.592,R
148,495.079,495.255,R
148,495.079,495.255,L
149,496.14,496.301,L
149,496.14,496.301,R
150,499.949,500.127,R
150,499.949,500.127,L
151,503.229,503.387,L
151,503.229,503.387,R
152,504.545,504.725,L
152,504.545,504.725,R
153,509.709,509.864,R
153,509.709,509.864,L
154,512.942,513.097,L
154,512.942,513.097,R
155,516.197,516.359,R
155,516.197,516.359,L
156,520.394,520.552,R
156,520.394,520.552,L
157,523.795,523.897,L
157,523.795,523.897,R
158,527.384,527.526,R
158,527.384,527.526,L
159,530.528,530.669,L
159,530.528,530.669,R
160,531.762,531.905,R
160,531.762,531.905,L
161,535.193,535.359,L
161,535.193,535.359,R
162,538.995,539.181,R
162,538.995,539.181,L
163,542.848,542.979,L
163,542.848,542.979,R
164,543.7,543.87,L
164,543.7,543.87,R
165,545.7,545.858,R
165,545.7,545.858,L
166,546.363,546.531,L
166,546.363,546.531,R
167,546.73,547.641,R
167,546.73,547.641,L
168,547.893,548.053,L
168,547.893,548.053,R
169,552.253,552.778,R
169,552.253,552.778,L
170,553.028,555.201,L
170,553.028,555.201,R
171,561.545,561.725,R
171,561.545,561.725,L
172,568.456,568.675,R
172,568.456,568.675,L
173,573.316,573.475,L
173,573.316,573.475,R
174,574.48,574.678,R
174,574.48,574.678,L
175,577.573,577.742,L
175,577.573,577.742,R
176,586.678,586.814,R
176,586.678,586.814,L
177,593.155,593.306,L
177,593.155,593.306,R
178,596.421,596.584,R
178,596.421,596.584,L
179,599.852,600.023,L
179,599.852,600.023,R
180,600.69,600.877,R
180,600.69,600.877,L
181,604.786,604.895,L
181,604.786,604.895,R
182,608.056,608.229,R
182,608.056,608.229,L
183,612.562,612.698,L
183,612.562,612.698,R
184,616.886,617.057,R
184,616.886,617.057,L
185,620.641,620.795,L
185,620.641,620.795,R
186,625.673,625.812,R
186,625.673,625.812,L
187,628.256,628.475,L
187,628.256,628.475,R
188,628.929,629.036,R
188,628.929,629.036,L
189,629.24,629.363,L
189,629.24,629.363,R
190,632.798,632.967,R
190,632.798,632.967,L
191,636.185,636.31,L
191,636.185,636.31,R
192,640.902,641.036,R
192,640.902,641.036,L
193,646.137,646.25,L
193,646.137,646.25,R
194,648.814,648.918,R
194,648.814,648.918,L
195,654.351,654.531,L
195,654.351,654.531,R
196,661.011,661.121,R
196,661.011,661.121,L
197,662.188,662.336,L
197,662.188,662.336,R
198,665.524,665.665,R
198,665.524,665.665,L
199,669.971,670.13,L
199,669.971,670.13,R
200,673.667,673.826,R
200,673.667,673.826,L
201,677.352,677.495,L
201,677.352,677.495,R
202,678.282,678.442,R
202,678.282,678.442,L
203,681.47,681.618,L
203,681.47,681.618,R
204,684.771,684.931,R
204,684.771,684.931,L
205,689.606,689.768,L
205,689.606,689.768,R
206,694.664,694.793,R
206,694.664,694.793,L
207,695.44,695.588,L
207,695.44,695.588,R
208,698.057,698.201,R
208,698.057,698.201,L
209,701.285,701.484,L
209,701.285,701.484,R
210,705.81,705.975,R
210,705.81,705.975,L
211,709.577,709.731,L
211,709.577,709.731,R
212,710.219,710.475,R
212,710.219,710.475,L
213,712.021,712.126,L
213,712.021,712.126,R
214,718.316,718.468,R
214,718.316,718.468,L
215,718.807,718.972,L
215,718.807,718.972,R
216,721.967,722.117,L
216,721.967,722.117,R
217,726.092,726.265,R
217,726.092,726.265,L
218,730.754,730.883,L
218,730.754,730.883,R
219,732.002,732.21,R
219,732.002,732.21,L
220,735.583,735.703,L
220,735.583,735.703,R
221,736.284,736.967,R
221,736.284,736.967,L
222,745.247,745.604,L
222,745.247,745.604,R
223,745.938,746.135,R
223,745.938,746.135,L
224,750.897,751.072,L
224,750.897,751.072,R
225,754.87,755.034,R
225,754.87,755.034,L
226,758.469,758.612,L
226,758.469,758.612,R
227,762.683,762.851,R
227,762.683,762.851,L
228,766.3,766.468,L
228,766.3,766.468,R
229,769.795,769.957,R
229,769.795,769.957,L
230,773.824,773.956,L
230,773.824,773.956,R
231,777.256,777.401,R
231,777.256,777.401,L
232,782.481,782.603,L
232,782.481,782.603,R
233,787.285,787.408,R
233,787.285,787.408,L
234,788.931,789.082,L
234,788.931,789.082,R
235,792.676,792.791,R
235,792.676,792.791,L
236,796.135,796.294,L
236,796.135,796.294,R
237,799.286,799.407,R
237,799.286,799.407,L
238,804.348,804.503,L
238,804.348,804.503,R
239,807.865,807.984,L
239,807.865,807.984,R
240,814.578,814.715,R
240,814.578,814.715,L
241,817.878,818.026,L
241,817.878,818.026,R
