,startTime,stopTime,whichEye
0,3.834,3.93,L
0,3.834,3.93,R
1,4.25,4.375,R
1,4.25,4.375,L
2,5.084,5.211,L
2,5.084,5.211,R
3,5.424,6.274,R
3,5.424,6.274,L
4,6.724,6.839,L
4,6.724,6.839,R
5,7.216,7.301,R
5,7.216,7.301,L
6,7.694,7.795,L
6,7.694,7.795,R
7,9.193,9.431,R
7,9.193,9.431,L
8,12.225,12.318,L
8,12.225,12.318,R
9,12.644,12.753,R
9,12.644,12.753,L
10,14.001,14.077,L
10,14.001,14.077,R
11,15.528,15.583,R
11,15.528,15.583,L
12,15.781,15.904,L
12,15.781,15.904,R
13,18.876,19.556,R
13,18.876,19.556,L
14,21.384,21.533,L
14,21.384,21.533,R
15,22.221,22.282,L
15,22.221,22.282,R
16,23.977,24.129,L
16,23.977,24.129,R
17,25.022,25.733,R
17,25.022,25.733,L
18,26.059,26.218,L
18,26.059,26.218,R
19,27.31,27.338,R
19,27.31,27.338,L
20,28.336,28.386,L
20,28.336,28.386,R
21,29.112,29.832,R
21,29.112,29.832,L
22,29.909,31.213,L
22,29.909,31.213,R
23,31.749,31.818,R
23,31.749,31.818,L
24,32.02,33.303,L
24,32.02,33.303,R
25,33.754,35.428,R
25,33.754,35.428,L
26,35.898,36.546,L
26,35.898,36.546,R
27,37.042,37.158,R
27,37.042,37.158,L
28,37.299,37.379,L
28,37.299,37.379,R
29,38.664,39.406,R
29,38.664,39.406,L
30,39.963,40.46,L
30,39.963,40.46,R
31,41.39,41.451,R
31,41.39,41.451,L
32,42.063,42.162,L
32,42.063,42.162,R
33,42.686,42.802,R
33,42.686,42.802,L
34,43.896,43.999,L
34,43.896,43.999,R
35,44.241,44.337,R
35,44.241,44.337,L
36,45.994,46.048,L
36,45.994,46.048,R
37,51.358,51.434,R
37,51.358,51.434,L
38,51.548,51.639,L
38,51.548,51.639,R
39,54.615,54.704,L
39,54.615,54.704,R
40,57.831,57.907,R
40,57.831,57.907,L
41,66.933,67.032,L
41,66.933,67.032,R
42,73.587,73.719,R
42,73.587,73.719,L
43,80.567,80.676,R
43,80.567,80.676,L
44,83.278,83.319,L
44,83.278,83.319,R
45,85.94,86.056,L
45,85.94,86.056,R
46,95.864,95.964,L
46,95.864,95.964,R
47,101.147,101.233,R
47,101.147,101.233,L
48,101.38,101.466,L
