,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,2,225.1846666666667,7641,224.774,224.782,224.787,0.5929805681855329,47.6519791563201,-0.5056144595146179,-39.08176803588867,-0.3658279180526733,-33.14109420776367,-0.3098063468933105,-27.264015197753903,-0.3379216236062348,-30.396944046020508,L,False,True,0,L,400,,0.229,LeftResponse,correct,True,4.0
1,3,229.27666666666667,855,229.162,229.167,229.173,0.3407169061482075,35.33733222543908,0.2921897396445274,30.09671211242676,0.3480351567268371,38.77592468261719,0.1752517223358154,18.517963409423828,0.1041721105575561,11.202556610107422,L,False,True,0,R,100,,0.316,RightResponse,correct,True,4.0
2,5,242.80766666666668,876,242.743,242.749,242.754,0.4144260588500387,45.26887313611351,0.4116053879261017,44.232540130615234,0.3379090875387192,35.89289093017578,0.0482696890830993,9.630849838256836,0.0050815641880035,6.790810108184815,L,False,True,0,R,50,,0.29,RightResponse,correct,True,4.0
3,9,271.4066666666667,924,271.39,271.398,271.404,0.5822563945181356,49.28356842412174,0.5818075686693192,48.941673278808594,0.4496537148952484,48.82137680053711,-0.0228574275970459,-5.795061111450195,-0.1727718636393547,-10.763659477233888,L,False,True,0,R,0,,0.359,RightResponse,correct,True,4.0
4,10,274.9286666666667,937,274.864,274.87,274.876,0.5183163051127122,54.827289167615206,0.4700405895709991,49.845211029052734,0.3607535064220428,36.72244644165039,-0.2184345126152038,-22.83608055114746,-0.1651493459939956,-18.039379119873047,L,False,True,0,R,50,,0.241,RightResponse,correct,True,3.0
5,14,299.08866666666665,7811,298.974,298.977,298.982,0.3056508714551146,33.862200271064765,-0.2972642630338669,-32.70597457885742,-0.2210339307785034,-25.33700561523437,-0.0711084604263305,-8.773131370544434,0.0050815716385841,0.6698437333106995,L,False,True,0,R,100,,0.278,RightResponse,correct,True,3.0
6,17,323.54466666666667,1041,323.532,323.539,323.545,0.4966521377360939,49.90252941925407,0.4497033655643463,45.73234939575195,0.3760101795196533,29.67938995361328,0.2107847929000854,19.97034454345703,0.144819289445877,10.46300983428955,L,False,True,0,L,0,,0.229,RightResponse,incorrect,False,3.0
7,20,342.94166666666666,4506,342.88,342.885,342.889,0.5693460477195846,64.89788979597509,0.4776335060596466,54.69232177734375,0.3150500208139419,31.759260177612305,0.3098728060722351,34.935455322265625,0.1524449586868286,15.013575553894045,L,False,True,0,R,50,,0.23,LeftResponse,incorrect,True,2.0
8,23,362.6716666666667,1157,362.459,362.471,362.476,0.6539512814815952,59.55963094117755,0.4725837856531143,24.83025932312012,0.4369556605815887,23.465425491333008,-0.4520142078399658,-54.13693618774414,-0.4319159686565399,-37.99431610107422,L,False,True,0,R,200,,0.295,LeftResponse,incorrect,True,4.0
9,25,373.0806666666667,4564,373.073,373.079,373.086,1.1614237047006073,108.86404949077944,0.5309026837348938,50.27120971679688,0.4242483973503113,45.79892349243164,1.0329798460006714,96.56182861328124,1.049307256937027,85.46061706542969,L,False,True,0,R,0,,0.268,LeftResponse,incorrect,True,3.0
10,27,384.4166666666667,8074,384.354,384.359,384.365,0.3986048549652555,38.92494516893733,-0.3811094090342521,-38.3649787902832,-0.3988351821899414,-44.895111083984375,0.1167966127395629,-6.5787353515625,0.2362935170531273,-8.315315246582031,L,False,True,0,R,50,,0.398,RightResponse,correct,True,5.0
11,28,389.82166666666666,1260,389.406,389.411,389.416,0.2833784775046951,27.483889884291024,0.2819984555244446,27.36846160888672,0.2616995461285114,28.318071365356445,0.0279326438903808,2.516249656677246,-0.0279487427324056,-2.540794849395752,L,False,True,0,L,400,,0.241,RightResponse,incorrect,True,6.0
12,33,424.59366666666665,1328,424.387,424.392,424.396,0.2566356047329029,31.455321374860706,0.2565853595733642,30.85481834411621,0.2693233639001846,24.96904945373535,0.0050780773162841,6.116978645324707,-0.2185077220201492,-22.197237014770508,L,False,True,0,R,200,,0.254,RightResponse,correct,True,7.0
13,34,429.9266666666667,1341,429.715,429.72,429.724,0.3406671108946938,34.43608989672037,0.3251700401306152,33.00181198120117,0.2464567124843597,27.902511596679688,0.1015801429748535,9.834871292114258,0.1626098081469535,16.422657012939453,L,False,True,0,L,200,,0.251,LeftResponse,correct,True,6.0
14,37,448.25466666666665,8215,448.193,448.199,448.204,0.5778676746861212,62.18117304905466,-0.5613669157028198,-60.73308563232422,-0.4166814628988504,-43.677642822265625,-0.1371066570281982,-13.34131145477295,-0.2743968963623047,-24.159910202026367,L,False,True,0,L,50,,0.339,RightResponse,incorrect,True,4.0
15,40,664.3796666666667,11638,664.361,664.37,664.377,0.8975686288983055,73.12796311676053,-0.4573343275114894,-50.330055236816406,-0.3303022682666778,-35.84816360473633,-0.7723177820444107,-53.05265808105469,-0.4954289644956589,-37.87939834594727,L,False,True,1,L,0,,0.375,RightResponse,incorrect,True,6.0
16,41,668.7426666666667,8392,668.627,668.631,668.637,0.2623214445042194,24.887860881289047,-0.2591535598039627,-24.80663108825684,-0.2413613498210907,-22.704269409179688,0.0406444668769836,2.0091474056243896,0.1143029928207397,11.060914993286133,L,False,True,1,L,100,,0.253,LeftResponse,correct,True,2.0
17,43,678.3146666666667,1565,677.901,677.908,677.913,0.3923323287111367,31.03343483189288,0.3430051282048225,24.922821044921875,0.2540657818317413,23.14313507080078,-0.1904524564743042,-18.491270065307617,-0.1168705523014068,-7.668165683746338,L,False,True,1,L,400,,0.398,LeftResponse,correct,True,9.0
18,47,703.0536666666667,1588,702.842,702.846,702.851,0.282341479968284,30.356020457274973,0.2718645334243774,28.849533081054688,0.1575179696083068,18.061485290527344,0.0761996507644653,9.444173812866213,-0.1016315296292305,-9.631893157958984,L,False,True,1,L,200,,0.282,RightResponse,incorrect,True,4.0
19,48,709.8316666666667,1597,709.417,709.422,709.426,0.2541814533582937,25.61233836871352,0.2540672421455383,25.52217674255371,0.2438991665840149,27.992942810058597,0.0076189041137695,2.147177457809448,0.058430790901184,-0.6235624551773071,L,False,True,1,L,400,,0.206,RightResponse,incorrect,True,6.0
20,49,713.0126666666666,8450,713.001,713.006,713.011,0.3262296736638487,34.10776267233602,-0.3074306026101112,-32.42917251586914,-0.3251904845237732,-32.63446044921875,-0.1091431379318237,-10.568265914916992,0.0482708811759948,-0.230961412191391,L,False,True,1,R,0,,0.219,RightResponse,correct,True,9.0
21,51,723.7286666666666,1621,723.66,723.663,723.669,0.2342163455577071,24.533975281085567,0.2134246937930584,23.46749687194824,0.1955956220626831,12.215740203857422,0.0964738130569458,7.154895782470703,0.1371829509735107,12.078596115112305,L,False,True,1,L,50,,0.246,RightResponse,incorrect,True,6.0
22,52,726.5766666666667,1626,726.513,726.518,726.523,0.3190533866011542,34.75261272585853,0.3175949193537235,33.399444580078125,0.2794740498065948,30.28024101257324,-0.0304718017578125,-9.60318660736084,-0.1219522655010223,-11.29442310333252,L,False,True,1,L,50,,0.332,LeftResponse,correct,True,9.0
23,56,749.5256666666667,8504,749.461,749.468,749.474,0.5327717701074869,49.26838067760689,-0.5310223400592804,-49.26811599731445,-0.3861492574214935,-31.08584976196289,-0.0431396961212158,0.161495104432106,0.0482661128044128,-2.74810004234314,L,False,True,1,L,50,,0.305,LeftResponse,correct,True,8.0
24,58,757.3986666666667,1667,756.988,756.992,756.995,0.1584640441272296,19.449151406238112,0.1549883782863617,18.755674362182617,0.2972511351108551,31.827049255371094,-0.0330069065093994,-5.1472487449646,-0.1575287831947207,-18.24747467041016,L,False,True,1,R,400,,0.35,LeftResponse,incorrect,True,9.0
25,59,760.8206666666666,1675,760.712,760.716,760.719,0.1836320056305315,25.048439052833363,0.1778544820845127,23.37516212463379,0.2692957818508148,27.92286872863769,-0.0457000732421875,-9.001449584960938,-0.1244851946830749,-11.455449104309082,L,False,True,1,L,100,,0.348,RightResponse,incorrect,True,1.0
26,60,764.2556666666667,8538,763.84,763.845,763.85,0.319315095476357,32.119989710496704,-0.3074287250638008,-28.802753448486328,-0.2006962299346923,-20.415956497192383,-0.0863116979598999,-14.21601676940918,0.0076198577880859,-1.8010581731796265,L,False,True,1,L,400,,0.369,LeftResponse,correct,True,12.0
27,64,780.5546666666667,11859,780.489,780.496,780.502,0.5203936255904096,45.78691324653037,-0.005081582814455,0.5774503350257874,0.1117817759513855,12.032892227172852,-0.5203688144683838,-45.78327178955078,-0.4471257328987121,-43.44289016723633,L,False,True,1,L,50,,0.35,LeftResponse,correct,True,7.0
28,65,783.8976666666666,1725,783.783,783.787,783.793,0.2825850189802263,29.63593140328833,0.2820259055588394,29.6346378326416,0.2616327404975891,25.470029830932617,0.0177674293518066,-0.2768946886062622,-0.0431912541389465,-2.1480135917663574,L,False,True,1,R,100,,0.362,RightResponse,correct,True,4.0
29,66,787.6496666666667,1730,787.439,787.441,787.445,0.155053366051637,19.14284324788721,0.1473642587661743,18.10874366760254,0.2235653698444366,25.381967544555664,-0.0482215881347656,-6.206597328186035,0.0025402307510375,-0.9006392955780029,L,False,True,1,L,200,,0.377,RightResponse,incorrect,True,4.0
30,68,798.6866666666667,8603,798.277,798.282,798.287,0.4627859329492416,48.94732164630353,-0.3887400925159454,-39.84417724609375,-0.3276756405830383,-25.42410087585449,-0.2511014938354492,-28.4302978515625,-0.2083058357238769,-26.25754737854004,L,False,True,1,L,400,,0.287,LeftResponse,correct,True,11.0
