,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,174.09966666666668,6479,173.985,173.993,174.0,0.9035021142767558,92.07492286945728,-0.8968727886676788,-91.83599090576172,-0.6047024428844452,-76.06134033203125,0.1092486679553985,6.6288909912109375,0.1905524730682373,9.285160064697266,L,False,True,0,L,100,,0.357,LeftResponse,correct,True,8.0
1,1,178.86266666666668,6487,178.449,178.456,178.462,0.3812282174380174,35.71888801807884,-0.3810927271842956,-35.70752716064453,-0.2134228199720382,-17.900766372680664,-0.0101630240678787,-0.9008136987686156,0.0177835226058959,12.425532341003418,L,False,True,0,L,400,,0.295,LeftResponse,correct,True,8.0
2,4,198.73066666666668,6506,198.32,198.326,198.331,0.5758031661876506,61.68725158899059,-0.3658587336540222,-43.63055419921875,-0.1092516630887985,-13.904828071594238,-0.4446309404447675,-43.60839080810547,-0.439555361866951,-42.939300537109375,L,False,True,0,L,400,,0.271,LeftResponse,correct,True,7.0
3,5,202.13266666666667,640,201.721,201.727,201.733,0.5201306071579962,53.30313784113147,0.5030713826417923,52.01642227172852,0.515777513384819,54.395843505859375,-0.1321174949407577,-11.64114761352539,-0.1321193575859069,-11.063846588134766,L,False,True,0,R,400,,0.223,LeftResponse,incorrect,True,6.0
4,6,206.52866666666668,9348,206.418,206.422,206.426,0.359257455595942,40.65020689716141,-0.2870967835187912,-31.619977951049805,-0.195640193298459,-21.411828994750977,-0.2159660998731851,-25.546356201171875,-0.2032632753252983,-21.73531913757324,L,False,True,0,R,100,,0.327,LeftResponse,incorrect,True,7.0
5,7,210.13466666666667,9355,209.714,209.727,209.73,0.4281369716289944,37.38393267702736,0.0736801326274871,30.789077758789062,0.020325630903244,13.096288681030272,-0.4217493385076523,-21.203563690185547,-0.3557034432888031,-24.22972679138184,L,False,True,0,R,400,,0.222,RightResponse,correct,True,9.0
6,9,223.2026666666667,667,223.09,223.094,223.1,0.3131702447983527,35.2824565028551,0.3125099092721939,35.22385787963867,0.3557101488113403,40.32924270629883,0.0203263089060783,-2.03262710571289,-0.0381119209341704,-7.922657012939453,L,False,True,0,R,100,,0.314,LeftResponse,incorrect,True,10.0
7,10,226.35866666666666,6548,226.347,226.353,226.356,0.3521977235080287,37.5965699756792,-0.2439103424549102,-23.998483657836918,-0.058438241481781,-5.705236434936523,-0.2540688514709472,-28.94088554382324,-0.2312119156122207,-27.417442321777344,L,False,True,0,R,0,,0.324,LeftResponse,incorrect,True,8.0
8,11,231.1136666666667,676,231.101,231.107,231.113,0.2821203405587715,28.850824858907625,0.2820173501968384,28.779132843017575,0.2972612977027893,28.409610748291016,0.0076223844662308,2.0326356887817383,-0.0558974705636501,-7.275909900665283,L,False,True,0,R,0,,0.389,LeftResponse,incorrect,True,11.0
9,12,234.73966666666666,684,234.526,234.531,234.536,0.2795462928397624,33.93058236738883,0.2769361138343811,33.79122543334961,0.3277611956000328,35.94057846069336,-0.0381119232624769,-3.072052001953125,0.0228669643402099,5.081559658050537,L,False,True,0,R,200,,0.252,LeftResponse,incorrect,True,8.0
10,13,239.77766666666668,3952,239.72,239.726,239.732,0.3658757292171811,37.1165632732578,0.0609757602214813,-0.3002523779869079,0.1346618444658815,0.300282210111618,0.3607589304447174,37.11534881591797,0.3201369899325073,32.221656799316406,L,False,True,0,L,50,,0.356,LeftResponse,correct,True,8.0
11,14,243.33266666666668,6573,243.32,243.326,243.332,0.4030140213279953,39.37514397998368,-0.2998131215572357,-30.119922637939453,-0.1321156620979309,-11.040460586547852,-0.2693183869123459,-25.361234664916992,-0.1321186870336532,-10.532519340515137,L,False,True,0,R,0,,0.236,RightResponse,correct,True,14.0
