,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,199.30466666666666,6149,199.191,199.196,199.202,0.3761135014194045,41.71767243481162,-0.3760362565517425,-41.71511459350586,-0.2464358806610107,-30.001916885375977,-0.0076223164796829,-0.4619608521461487,-0.2565740346908569,-19.791061401367188,L,False,True,0,L,100,,0.317,RightResponse,incorrect,True,4.0
1,1,203.88366666666667,6154,203.87,203.876,203.881,0.4572775737680922,48.699513299794994,-0.3988963440060615,-41.9222297668457,-0.4039222002029419,-44.96490478515625,-0.2235721051692962,-24.78243827819824,-0.0584360659122467,-5.589502334594727,L,False,True,0,L,0,,0.262,RightResponse,incorrect,True,4.0
2,2,207.12266666666667,9062,207.065,207.068,207.074,0.3227037386708516,35.90989240905809,-0.2083411067724228,-27.001163482666016,-0.1956151723861694,-27.944807052612305,-0.2464379966259002,-23.67398452758789,-0.2413714379072189,-25.846290588378903,L,False,True,0,L,50,,0.311,RightResponse,incorrect,True,4.0
3,3,213.25966666666667,9075,213.142,213.144,213.148,0.1981818005442619,25.903550156604187,0.0,4.804347038269043,0.127035915851593,21.87322425842285,-0.1981818005442619,-25.45411872863769,-0.2311820983886718,-27.852540969848636,L,False,True,0,R,100,,0.256,RightResponse,correct,True,7.0
4,4,218.90166666666667,6177,218.688,218.694,218.699,0.5385579634745461,59.19347178478719,-0.5056142657995224,-56.10502243041992,-0.3150088787078857,-35.334716796875,-0.185469388961792,-18.870441436767575,-0.3277058005332947,-32.12374496459961,L,False,True,0,L,200,,0.398,RightResponse,incorrect,True,4.0
5,5,221.86566666666667,3572,221.852,221.858,221.865,0.7391370749469506,74.57082457206702,-0.248988464474678,-25.43010139465332,-0.3836326599121094,-33.28219223022461,0.6959370374679565,70.10076904296875,1.008664071559906,98.39562225341795,L,False,True,0,L,0,,0.21,LeftResponse,correct,True,7.0
6,6,226.11666666666667,6195,226.002,226.008,226.014,0.3976779117646776,46.27982776610892,-0.3912635892629623,-46.03221130371094,-0.297223687171936,-38.84405899047852,-0.0711373686790466,-4.781002044677734,-0.1194048523902893,-10.046659469604492,L,False,True,0,R,100,,0.304,RightResponse,correct,True,6.0
7,7,229.57666666666668,6200,229.164,229.169,229.173,0.4677807861526534,51.40993678867274,-0.3480840446427464,-38.48092651367188,-0.350563645362854,-39.21275329589844,0.3125001788139343,34.0910530090332,0.3353623747825622,31.988676071166992,L,False,True,0,R,400,,0.267,RightResponse,correct,True,4.0
8,8,232.91566666666668,716,232.703,232.71,232.716,0.5045702098532566,48.803653013181936,0.4979771077632904,47.88064956665039,0.3353611528873443,26.07585334777832,-0.0813012719154357,-9.44668960571289,-0.2057869136333465,-18.70800399780273,L,False,True,0,R,200,,0.264,RightResponse,correct,True,7.0
9,9,237.73666666666668,6211,237.673,237.678,237.683,0.4192789603340903,47.2490129909869,-0.3760242015123367,-43.51531982421875,-0.1651116609573364,-21.429874420166016,-0.1854741126298904,-18.40886116027832,-0.1575165390968322,-12.448837280273438,L,False,True,0,R,50,,0.298,LeftResponse,incorrect,True,7.0
