,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,1,232.05166666666668,8279,231.986,231.991,231.996,0.2696058859134595,31.75034614123995,-0.2693064212799072,-30.18717384338379,-0.1524474350735545,-28.433727264404297,0.0127037465572357,9.839665412902832,-0.1727688610553741,-16.376148223876953,L,False,True,0,L,50,,0.276,RightResponse,incorrect,True,4.0
1,8,273.0776666666667,1035,272.961,272.968,272.975,0.5401276693794733,56.71490152711377,0.5385956466197968,56.6075553894043,0.5462606549263,56.10462188720703,-0.0406525358557701,-3.4877970218658447,-0.2159668188542127,-22.982542037963867,L,False,True,0,L,100,,0.399,RightResponse,incorrect,True,4.0
2,10,286.89166666666665,8393,286.828,286.836,286.843,0.6229490619782637,58.512307948037616,-0.6224307268857956,-58.409645080566406,-0.6478596180677414,-54.83125305175781,-0.0254071652889251,-3.4646129608154297,-0.2820107638835907,-21.75736618041992,L,False,True,0,L,50,,0.352,RightResponse,incorrect,True,7.0
3,12,294.78566666666666,8423,294.765,294.774,294.779,0.6638958226915251,66.9073615799187,-0.6122939884662628,-62.63938522338867,-0.5843565128743649,-41.73689651489258,-0.2566198259592056,-23.513877868652344,-0.2820004522800445,-30.601192474365234,L,False,True,0,L,0,,0.247,RightResponse,incorrect,True,4.0
4,13,301.52166666666665,8436,301.407,301.415,301.421,0.6102725397733846,58.32827324961969,-0.6072183549404144,-58.25093078613281,-0.607222743332386,-57.39698028564453,-0.0609790310263633,-3.0027525424957275,-0.221031904220581,-12.656867027282717,L,False,True,0,R,100,,0.341,LeftResponse,incorrect,True,7.0
5,14,304.73966666666666,12595,304.625,304.632,304.639,0.8373826538106287,82.33224983720729,0.604684429243207,68.78377532958984,0.6427246034145355,68.75299072265625,-0.5792809766717255,-45.24811172485352,-0.5561856031417847,-52.73112487792969,L,False,True,0,R,100,,0.336,RightResponse,correct,True,10.0
6,15,310.79766666666666,1146,310.387,310.394,310.4,0.5796613669386449,61.19066069161682,0.5767081826925278,59.77271270751953,0.5944871455430984,65.5456771850586,0.0584377646446228,13.096555709838867,0.1321102380752563,16.352067947387695,L,False,True,0,L,400,,0.304,LeftResponse,correct,True,4.0
7,16,316.37666666666667,8479,315.956,315.965,315.972,0.7400926999732698,69.92094655585052,-0.706313394010067,-68.3454818725586,-0.7088394835591316,-54.113502502441406,-0.2210398018360138,-14.759196281433104,-0.3455111682415008,-27.529075622558597,L,False,True,0,R,400,,0.361,LeftResponse,incorrect,True,3.0
8,18,325.6646666666667,8499,325.639,325.646,325.652,0.4831503054732781,42.24348076991555,-0.4700385928153991,-40.51365661621094,-0.4420396089553833,-44.04286575317383,-0.1117941811680793,-11.964752197265623,-0.2108156085014343,-19.627338409423828,L,False,True,0,R,0,,0.306,LeftResponse,incorrect,True,7.0
9,19,332.0436666666667,8512,331.827,331.834,331.839,0.5911938393499978,53.61384577351234,-0.5513271316885948,-49.88985824584961,-0.6376850605010986,-50.905391693115234,-0.2134210616350174,-19.63279151916504,-0.335220456123352,-31.51531982421875,L,False,True,0,L,200,,0.266,RightResponse,incorrect,True,3.0
