,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,0,209.55166666666668,3851,209.49,209.496,209.5,0.4628545373909818,50.318688100225074,-0.4420823156833648,-47.049072265625,-0.3404185175895691,-31.20151710510254,-0.1371041536331176,-17.842510223388672,-0.1676798164844513,-13.788565635681152,L,False,True,0,L,50,,0.34,LeftResponse,correct,True,2.0
1,1,214.53466666666668,3856,214.524,214.532,214.537,0.6431673603837094,53.38510296734874,-0.6402725279331207,-52.547393798828125,-0.6173654496669769,-54.92459487915039,-0.0609536170959472,-9.4202241897583,-0.1219581142067909,-9.123762130737305,L,False,True,0,R,0,,0.218,LeftResponse,incorrect,True,2.0
2,2,219.7266666666667,3864,219.61,219.618,219.624,0.5834512192808838,43.23253350112739,-0.5488007888197899,-43.05403518676758,-0.3480595350265503,-39.287147521972656,-0.1980732679367065,-3.924539089202881,-0.19052654504776,-18.84470558166504,L,False,True,0,L,100,,0.379,RightResponse,incorrect,True,2.0
3,3,224.9226666666667,3875,224.911,224.918,224.924,0.4845260869086751,49.99798010390454,-0.4776627346873283,-49.31397247314453,-0.3861642479896545,-43.53669738769531,-0.0812640190124511,-8.241973876953125,-0.0304890424013137,-4.06521463394165,L,False,True,0,R,0,,0.332,LeftResponse,incorrect,True,5.0
4,4,229.4226666666667,3880,229.012,229.019,229.024,0.6011524759286633,57.47563121944437,-0.5538860559463501,-52.50167846679688,-0.5284751206636429,-53.2866439819336,-0.2336547374725341,-23.388500213623047,-0.1600696870591491,-9.470223426818848,L,False,True,0,R,400,,0.225,LeftResponse,incorrect,True,2.0
5,5,234.05266666666668,3888,233.64,233.647,233.654,0.679548751508684,59.62983550246894,-0.6758183045312762,-59.42863082885742,-0.6021615266799927,-68.80854034423828,-0.0711064338684082,-4.894396781921387,-0.0177849531173706,0.762212336063385,L,False,True,0,R,400,,0.36,LeftResponse,incorrect,True,5.0
6,6,239.29466666666667,3901,239.081,239.086,239.092,0.4172678271037945,41.68880885813423,-0.411601017229259,-41.41423416137695,-0.3175984025001526,-39.4976806640625,-0.0685349702835083,-4.77681827545166,-0.1549833714962005,-11.525479316711426,L,False,True,0,R,200,,0.251,LeftResponse,incorrect,True,2.0
7,7,244.36566666666667,3910,244.306,244.311,244.317,0.4694125641109439,52.13640237254442,-0.4344700686633587,-50.00678253173828,-0.541175402700901,-57.02791213989258,-0.1777186393737793,-14.748767852783203,-0.2515288144350052,-26.562009811401367,L,False,True,0,R,50,,0.252,RightResponse,correct,True,1.0
8,8,249.36966666666666,3917,248.955,248.962,248.97,0.6544131426623883,57.05738397714301,-0.6351920962333679,-55.68925857543945,-0.5437128627672791,-52.22293472290039,-0.1574406623840332,-12.419804573059082,-0.132121279835701,-6.860145568847656,L,False,True,0,L,400,,0.2,RightResponse,incorrect,True,8.0
9,9,253.77066666666667,3925,253.759,253.765,253.771,0.7065508282738228,75.07393678923059,-0.7063273787498474,-74.69835662841797,-0.7876316905021667,-81.09625244140625,0.0177681446075439,-7.500100135803223,-0.172772578895092,-15.72971534729004,L,False,True,0,R,0,,0.207,RightResponse,correct,True,8.0
10,10,259.2656666666667,3931,259.152,259.161,259.167,0.7616766649202604,72.43630243614822,-0.7594324946403503,-69.38336181640625,-0.6123240739107132,-65.45947265625,-0.0584262609481811,-20.807859420776367,-0.063517689704895,0.207876056432724,L,False,True,0,R,100,,0.347,LeftResponse,incorrect,True,5.0
11,11,264.44166666666666,3936,264.228,264.235,264.243,0.6837576679869073,62.93324608828934,-0.6453209593892097,-58.43515396118164,-0.5335593149065971,-51.73931503295898,-0.2260208129882812,-23.36506462097168,-0.2921878434717655,-22.358577728271484,L,False,True,0,R,200,,0.355,RightResponse,correct,True,5.0
12,12,270.54066666666665,3943,270.476,270.483,270.489,0.6864803680087267,68.72676057671134,-0.6859124302864075,-68.2451400756836,-0.622484877705574,-54.7652473449707,-0.0279183387756347,-8.122097969055176,0.1829370707273483,17.277393341064453,L,False,True,0,L,50,,0.26,RightResponse,incorrect,True,1.0
13,13,275.3536666666667,3953,275.139,275.144,275.151,0.3618961954809133,36.63405574934706,-0.3480836376547813,-35.408843994140625,-0.4065179638564586,-40.12068176269531,-0.099028468132019,-9.395094871520996,-0.2007213346660137,-16.353403091430664,L,False,True,0,R,200,,0.34,RightResponse,correct,True,4.0
14,14,281.0486666666667,3960,280.637,280.642,280.647,0.3252298832233416,31.936909055663616,-0.3252199664711952,-31.92147254943848,-0.3353759869933128,-38.50363540649414,-0.0025397539138793,0.992849588394165,-0.0381118971854448,-5.497352600097656,L,False,True,0,L,400,,0.393,LeftResponse,correct,True,11.0
15,15,286.02066666666667,3968,285.61,285.616,285.623,0.5428786939637533,51.70193173411475,-0.54115891456604,-51.62130355834961,-0.6477935016155243,-64.8031005859375,0.0431776046752929,2.8863062858581543,-0.0635091066360473,-3.556580781936645,L,False,True,0,L,400,,0.352,LeftResponse,correct,True,10.0
16,16,291.2576666666667,3980,291.243,291.25,291.257,0.7215971596952008,65.9338418264145,-0.7190176770091057,-63.979827880859375,-0.673302948474884,-72.29639434814453,-0.0609593391418457,-15.932768821716309,-0.0762192606925964,-3.1411728858947754,L,False,True,0,R,0,,0.329,RightResponse,correct,True,7.0
17,17,296.1326666666667,3986,295.921,295.925,295.93,0.3618284355914966,41.831495420867405,-0.3582458831369877,-40.90613555908203,-0.406513012945652,-44.34695816040039,0.050790786743164,8.74997615814209,-0.0940023362636566,-11.363393783569336,L,False,True,0,L,200,,0.261,RightResponse,incorrect,True,3.0
18,18,300.5126666666667,3998,300.497,300.502,300.511,0.5096744605907283,37.46202290406144,-0.4776665419340133,-35.1090202331543,-0.4750758409500122,-33.62821578979492,-0.1777715682983398,-13.067511558532717,-0.1143099665641784,-1.6396605968475342,L,False,True,0,L,0,,0.39,LeftResponse,correct,True,6.0
19,19,304.9796666666667,4005,304.965,304.971,304.98,0.5458513886274164,44.16714098460047,-0.5385621190071106,-43.04707336425781,-0.6046731323003769,-56.449012756347656,-0.0889077186584472,-9.88361358642578,-0.1321165561676025,-9.077259063720703,L,False,True,0,L,0,,0.223,LeftResponse,correct,True,5.0
20,20,308.43966666666665,4010,308.327,308.333,308.338,0.348785829783936,36.97589262177654,-0.3277249932289123,-33.627037048339844,-0.4268513172864914,-42.96237182617188,-0.1193645000457763,-15.37657356262207,-0.2159526944160461,-23.974262237548828,L,False,True,0,L,100,,0.216,LeftResponse,correct,True,8.0
21,21,313.3446666666667,4019,313.132,313.137,313.143,0.4148555205055276,43.36425621803797,-0.365841805934906,-42.17341613769531,-0.4192058891057968,-45.7545051574707,-0.1956140995025634,-10.092655181884766,-0.1981795504689216,-17.508222579956055,L,False,True,0,L,200,,0.353,RightResponse,incorrect,True,6.0
22,22,318.6736666666667,4028,318.613,318.62,318.626,0.6049997434047872,62.44339091051334,-0.5995138585567474,-61.8464241027832,-0.5487809479236603,-60.97492980957031,0.0812885165214538,8.613761901855469,-0.0381063222885131,-1.8013776540756226,L,False,True,0,R,50,,0.321,LeftResponse,incorrect,True,4.0
23,23,323.5076666666667,4037,323.295,323.302,323.306,0.3511156708728543,33.50274114219883,-0.2997239828109741,-27.73290634155273,-0.482647955417633,-40.435001373291016,-0.1828872561454773,-18.79679679870605,-0.1219380497932434,-15.773451805114746,L,False,True,0,L,200,,0.347,LeftResponse,correct,True,9.0
24,24,328.29966666666667,4044,328.289,328.296,328.303,0.68474608272558,66.36966415544826,-0.6782671213150024,-65.2873306274414,-0.6857685446739197,-64.23543548583984,-0.0939729213714599,-11.937201499938965,-0.1930876672267913,-14.68952751159668,L,False,True,0,L,0,,0.338,LeftResponse,correct,True,4.0
25,25,333.3706666666667,4053,333.255,333.262,333.269,0.6062439587898361,49.81662116818838,-0.5614988999441266,-47.95026397705078,-0.5081481039524078,-44.13981246948242,-0.2285841703414917,-13.508069038391112,-0.3251962959766388,-21.1567497253418,L,False,True,0,R,100,,0.262,RightResponse,correct,True,7.0
26,26,337.84566666666666,670,337.434,337.441,337.446,0.5529668213427078,55.16452572257865,0.5435524582862854,53.892765045166016,0.391262874007225,44.11507415771485,-0.1016023159027099,-11.776874542236328,-0.3150267302989959,-26.99909019470215,L,False,True,0,L,400,,0.269,RightResponse,incorrect,True,9.0
27,27,342.55466666666666,4069,342.346,342.351,342.357,0.4908133941166044,52.989554308999786,-0.4848603010177612,-51.13937377929688,-0.5637900233268738,-59.88553237915039,0.0762120485305786,13.880105018615724,-0.0508154183626174,-5.705176830291748,L,False,True,0,L,200,,0.333,RightResponse,incorrect,True,8.0
