,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,1,176.53066666666666,702,176.518,176.522,176.528,0.3920722755847241,42.57642225192439,0.2896493189036846,28.96491432189941,0.3125144601799547,28.987817764282227,0.2642422020435333,31.205535888671875,0.4674795866012573,39.35742568969727,L,False,True,0,R,0,,0.299,RightResponse,correct,True,1.0
1,2,180.53566666666669,5950,180.523,180.53,180.536,0.5627643096885466,57.13045083602592,-0.5588735640048981,-56.62587738037109,-0.5005222726613283,-52.75457763671875,-0.0660606366582214,-7.576174736022949,0.0,5.289153099060059,L,False,True,0,R,0,,0.222,LeftResponse,incorrect,True,1.0
2,3,183.72566666666668,5961,183.314,183.321,183.327,0.6494384050838706,67.1659387079153,-0.640182614326477,-66.83570098876953,-0.7901229858398438,-71.96633911132812,-0.1092541180551052,-6.652247428894043,-0.12703338265419,-12.12588119506836,L,False,True,0,R,400,,0.397,RightResponse,correct,True,1.0
3,4,189.14566666666667,726,188.933,188.939,188.944,0.3386787552366724,31.59550147393301,0.2566005885601043,24.343807220458984,0.3074343651533127,26.58585357666016,-0.2210417091846466,-20.140872955322266,-0.0482710599899292,-4.111130237579346,L,False,True,0,L,200,,0.293,NoResponse,incorrect,True,1.0
4,5,193.84666666666666,5985,193.733,193.74,193.745,0.54456677878578,56.83595197264113,-0.528297483921051,-54.953887939453125,-0.505592092871666,-52.98414611816406,-0.1321164071559906,-14.50502109527588,-0.2413710206747055,-22.19688606262207,L,False,True,0,R,100,,0.392,RightResponse,correct,True,1.0
5,6,197.23966666666666,746,197.131,197.136,197.142,0.4065174977974333,45.87755343817191,0.4064857363700866,45.66045379638672,0.3887385502457618,43.40116500854492,-0.0050815492868423,-4.457899570465088,-0.0482739806175231,-11.410204887390137,L,False,True,0,R,100,,0.391,LeftResponse,incorrect,True,1.0
6,7,199.94166666666666,756,199.88,199.887,199.893,0.4237220263204713,42.51348584794562,0.3963186740875244,37.27641296386719,0.4446354508399963,43.26247024536133,-0.1499061845242977,-20.44175910949707,0.0609778463840484,1.3627614974975586,L,False,True,0,R,50,,0.33,RightResponse,correct,True,1.0
7,8,202.99366666666668,6000,202.98,202.986,202.992,0.4997445246519565,51.55799489071873,-0.4826534986495971,-50.27431869506836,-0.5105793476104736,-59.90186309814453,-0.1295769661664962,-11.433272361755373,-0.0406526811420917,-8.176718711853027,L,False,True,0,L,0,,0.215,LeftResponse,correct,True,4.0
8,9,206.37866666666667,6003,206.316,206.322,206.328,0.4819477821155175,50.84477973642148,-0.4750404953956604,-50.6448974609375,-0.4420264959335327,-44.17991256713867,-0.0813030898571014,-4.503996849060059,0.0,11.733694076538086,L,False,True,0,L,50,,0.242,LeftResponse,correct,True,1.0
9,10,209.16366666666667,770,208.951,208.958,208.964,0.5767059525202772,59.75891083402964,0.411587581038475,43.93058776855469,0.5640304982662201,53.42399978637695,-0.4039621502161026,-40.51210784912109,-0.6250175386667252,-53.21693420410156,L,False,True,0,L,200,,0.204,RightResponse,incorrect,True,4.0
10,11,212.59866666666667,6015,212.485,212.491,212.496,0.5310833759642267,54.35884146952159,-0.5283966362476349,-53.48628616333008,-0.3937947452068329,-43.39810180664063,0.0533530414104461,9.70055866241455,-0.0355698466300964,-11.271470069885254,L,False,True,0,R,100,,0.336,LeftResponse,incorrect,True,4.0
11,12,215.93766666666667,6024,215.722,215.731,215.737,0.6802773792331174,63.98706298550217,-0.6757024526596069,-63.96663284301758,-0.5589220225811005,-58.570613861083984,-0.0787623524665832,1.6168216466903689,-0.1321183145046234,-11.04066562652588,L,False,True,0,R,200,,0.252,RightResponse,correct,True,7.0
12,13,219.99666666666667,6033,219.587,219.595,219.6,0.6583810126546416,57.614163479844095,-0.657983809709549,-57.57581329345703,-0.482730358839035,-41.851661682128906,0.0228662192821502,-2.1017985343933105,0.0584373623132705,9.908966064453123,L,False,True,0,L,400,,0.206,LeftResponse,correct,True,1.0
13,14,224.13466666666667,6045,224.073,224.079,224.084,0.4563382191321449,42.06050305763922,-0.3683874309062958,-37.670166015625,-0.3556804656982422,-39.44792938232422,0.2693237289786339,18.709476470947266,0.2693227902054786,24.483909606933597,L,False,True,0,R,50,,0.336,NoResponse,incorrect,True,1.0
14,15,228.74766666666667,6055,228.735,228.741,228.747,0.5750990419649492,60.77830054812584,-0.571580559015274,-60.483177185058594,-0.4522375017404556,-50.78986358642578,-0.0635182857513427,-5.982231616973877,-0.0965431928634643,-1.5474672317504885,L,False,True,0,R,0,,0.255,LeftResponse,incorrect,True,3.0
15,16,231.87466666666668,6067,231.762,231.769,231.776,0.7839451003816694,75.54847261096579,-0.7747967541217804,-74.40874481201172,-0.7240793630480766,-74.99486541748047,0.1194148659706115,13.073270797729492,0.175314549356699,19.102130889892575,L,False,True,0,L,100,,0.279,LeftResponse,correct,True,7.0
16,17,235.63866666666667,6076,235.525,235.531,235.535,0.3253607186313855,31.328346505577272,-0.2540682703256607,-25.060287475585938,-0.2057846784591674,-24.689550399780277,0.2032459378242492,18.800193786621094,0.3302971571683883,30.81222915649414,L,False,True,0,L,100,,0.275,RightResponse,incorrect,True,6.0
17,18,239.3276666666667,846,239.213,239.219,239.225,0.5722028538825018,60.87467341349182,0.5386389121413231,59.80022811889648,0.4268399029970169,47.64990997314453,0.1930912435054779,11.38677215576172,0.0889276303350925,6.952517509460449,L,False,True,0,L,100,,0.281,LeftResponse,correct,True,9.0
18,21,249.8396666666667,896,249.612,249.621,249.628,1.1034365181006835,105.78531221869012,1.0924979150295258,105.16311645507812,1.1610505133867264,95.2276611328125,-0.1549853384494781,-11.45649242401123,0.0127035975456237,-1.3858388662338257,L,False,True,0,L,200,,0.228,LeftResponse,correct,True,9.0
19,22,253.64566666666667,6139,253.633,253.639,253.646,0.6036974428684573,60.10269474572075,-0.579199880361557,-58.95996475219727,-0.5792371034622192,-61.55063247680664,0.1702295541763305,11.664324760437012,-0.1219563335180282,-7.137204170227051,L,False,True,0,L,0,,0.327,LeftResponse,correct,True,6.0
