,trialIndex,targetOnsetTime,Unnamed: 0,startTime,peakVelocityTime,stopTime,amplitude,peakVelocity,saccade_vec_left_x,peak_velocity_vec_left_x,saccade_vec_right_x,peak_velocity_vec_right_x,saccade_vec_left_y,peak_velocity_vec_left_y,saccade_vec_right_y,peak_velocity_vec_right_y,whichEye,otherEyeMissingData,isBinocular,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,isSaccade,blankDurationInFrameCount
0,1,221.63966666666667,993,221.578,221.583,221.587,0.3067097680186749,30.44211976824894,0.1955426931381225,21.93228530883789,0.1016276180744171,8.615277290344238,-0.2362920586019754,-21.111549377441406,-0.1270389184355735,-15.36016845703125,L,False,True,0,L,50,,0.258,RightResponse,incorrect,True,4.0
1,2,226.73166666666668,11985,226.622,226.627,226.634,0.3146723854616664,33.42395091587779,-0.1168141365051269,-14.7282133102417,-0.0940081477165222,-11.06381607055664,-0.2921868711709976,-30.004003524780277,-0.2083380371332168,-18.5472469329834,L,False,True,0,R,100,,0.246,LeftResponse,incorrect,True,4.0
2,3,232.09366666666668,11993,232.027,232.035,232.037,0.2398273505358219,23.29076765300796,-0.1422373652458191,-19.164958953857425,-0.068590223789215,-13.648834228515623,-0.1930950284004211,-13.23496150970459,-0.1829283535480499,-15.775151252746582,L,False,True,0,L,50,,0.326,RightResponse,incorrect,True,7.0
3,4,236.12866666666667,1035,235.919,235.924,235.931,0.4655234378887199,44.8452116219168,0.4342726469039917,44.39640426635742,0.4166437089443207,38.33824920654297,-0.1676882207393646,-6.328688144683838,-0.1880176588892936,-16.74608612060547,L,False,True,0,L,200,,0.38,LeftResponse,correct,True,3.0
4,5,240.61266666666668,1049,240.202,240.208,240.213,0.2920656207808893,31.2838750622072,0.2819448709487915,30.68846321105957,0.3175352215766907,32.423343658447266,-0.0762195289134979,-6.074460029602051,-0.0609781146049499,-8.315204620361328,L,False,True,0,L,400,,0.243,NoResponse,incorrect,True,4.0
5,6,245.15466666666669,12017,245.042,245.048,245.056,0.5422683793822716,49.39473347424291,0.1752380132675171,16.231168746948242,0.2261051833629608,21.61759185791016,-0.5131731033325195,-46.65178298950195,-0.7495203614234924,-58.6455307006836,L,False,True,0,L,100,,0.368,RightResponse,incorrect,True,7.0
6,7,248.43566666666666,8725,248.323,248.328,248.334,0.3606470990918543,39.78780632321023,-0.3530407547950744,-38.07500457763672,-0.4496458768844604,-46.02720642089844,0.0736787319183349,11.548314094543455,-0.0533565990626812,-6.00549840927124,L,False,True,0,L,100,,0.218,LeftResponse,correct,True,10.0
7,8,253.23966666666666,1081,253.029,253.035,253.039,0.3121180087260615,33.680183626459375,0.2616074085235595,27.546293258666992,0.2871069461107254,29.21892738342285,-0.1702328263781964,-19.37928009033203,-0.1575269997119903,-13.604621887207031,L,False,True,0,R,200,,0.248,RightResponse,correct,True,2.0
8,9,257.3246666666667,8740,257.314,257.322,257.328,0.5750821608750752,50.28856146684784,-0.5053967833518982,-45.45920944213867,-0.3887292221188545,-43.63080978393555,-0.2743967622518539,-21.503480911254883,-0.2464562281966209,-25.24622344970703,L,False,True,0,R,0,,0.382,LeftResponse,incorrect,True,4.0
9,10,262.15766666666667,1096,262.091,262.095,262.098,0.1991367935974776,22.247381365491307,0.1727358102798462,19.167285919189453,0.2159523665904998,24.505460739135746,-0.0990848243236541,-11.294296264648438,-0.0965500120073556,-13.30449676513672,L,False,True,0,R,50,,0.26,RightResponse,correct,True,10.0
10,11,266.17966666666666,8754,265.768,265.773,265.777,0.3664093893936072,40.59047260460162,-0.2032166719436645,-23.785459518432617,-0.0940015316009521,-9.608006477355955,-0.3048914968967438,-32.89131164550781,-0.3379206620156765,-30.99730491638184,L,False,True,0,R,400,,0.313,RightResponse,correct,True,7.0
11,12,271.84566666666666,1117,271.633,271.639,271.645,0.4203557958770884,42.340177934871726,0.3784624338150024,39.093170166015625,0.2972712442278862,30.83583068847656,-0.1829349100589752,-16.260833740234375,-0.2007215861231088,-15.452588081359863,L,False,True,0,L,200,,0.24,LeftResponse,correct,True,1.0
12,13,276.0756666666667,8771,275.665,275.67,275.676,0.2976147442557326,31.70750253134082,-0.2666816711425781,-27.384111404418945,-0.2667737901210785,-27.739974975585938,-0.1321189701557159,-15.98362159729004,-0.0584377348423004,-2.4483835697174072,L,False,True,0,L,400,,0.322,LeftResponse,correct,True,6.0
13,14,279.70666666666665,8781,279.296,279.303,279.308,0.6159102658692065,56.30566877795555,-0.2845191359519958,-26.58090591430664,-0.276926577091217,-25.70612144470215,-0.5462548094801605,-49.63651657104492,-0.4497182965278625,-42.2232666015625,L,False,True,0,R,400,,0.37,LeftResponse,incorrect,True,5.0
14,15,283.06666666666666,8791,283.005,283.012,283.018,0.5415674816163647,46.04600707346869,-0.4038898944854736,-37.248008728027344,-0.4293045997619629,-42.28337097167969,-0.3607884286902845,-27.07065963745117,-0.355707798153162,-29.103302001953125,L,False,True,0,L,50,,0.395,LeftResponse,correct,True,9.0
15,16,287.1546666666667,8800,286.942,286.949,286.954,0.495389113996,50.25142653636625,-0.3962908983230591,-42.30754852294922,-0.3353421092033386,-30.73921012878418,-0.2972606569528579,-27.11599540710449,-0.205804169178009,-24.04513931274414,L,False,True,0,L,200,,0.258,RightResponse,incorrect,True,1.0
16,17,291.1596666666667,12094,291.053,291.056,291.063,0.356360024946488,39.05935062260656,0.2667551338672638,32.01064682006836,0.2693150788545608,31.504785537719727,-0.2362925431225448,-22.38194274902344,-0.231206864118576,-23.143871307373047,L,False,True,0,L,100,,0.309,RightResponse,incorrect,True,9.0
17,18,294.64866666666666,1171,294.639,294.644,294.65,0.4020274414045632,45.3398562262885,0.4013766646385193,45.333831787109375,0.411595769226551,41.321434020996094,0.0228656232357025,0.7390927672386169,-0.2083441955037415,-23.79099464416504,L,False,True,0,R,0,,0.224,LeftResponse,incorrect,True,7.0
18,19,299.7866666666667,8825,299.676,299.683,299.691,0.5189698460934739,46.59196983603911,-0.4952861666679382,-44.910587310791016,-0.3277397453784942,-33.952083587646484,-0.1549881100654602,-12.403660774230955,-0.1981789916753769,-9.539421081542969,L,False,True,0,R,100,,0.278,LeftResponse,incorrect,True,12.0
19,20,303.2176666666667,8834,303.108,303.116,303.12,0.4006464946869671,36.56612189734115,-0.2768685817718506,-20.574121475219727,-0.2947055101394653,-25.61319732666016,-0.2895883321762085,-30.228906631469727,-0.3252198025584221,-36.54101943969727,L,False,True,0,L,100,,0.289,LeftResponse,correct,True,15.0
20,21,306.9146666666667,8843,306.852,306.858,306.862,0.3107413373197436,33.81043735962312,-0.261616051197052,-28.054805755615234,-0.238823115825653,-23.350954055786133,-0.1676819026470184,-18.869911193847656,-0.2312120273709297,-25.892980575561523,L,False,True,0,R,50,,0.236,LeftResponse,incorrect,True,8.0
21,22,310.2536666666667,12125,310.242,310.248,310.256,0.4720467698574684,43.97174109415823,-0.2311561703681945,-28.657129287719727,-0.099077820777893,-13.210227966308594,-0.4115762114524841,-33.35090637207031,-0.3633319661021232,-26.562789916992188,L,False,True,0,L,0,,0.23,LeftResponse,correct,True,10.0
22,23,314.42466666666667,8857,314.014,314.02,314.026,0.5095999379432999,50.64937495908945,-0.4775562286376953,-49.55681228637695,-0.5665249824523926,-57.64517593383789,-0.1778542809188366,-10.463342666625977,-0.1575276851654052,-14.45930290222168,L,False,True,0,R,400,,0.292,RightResponse,correct,True,8.0
23,24,319.89566666666667,8864,319.835,319.84,319.846,0.298865106747067,32.3495167812401,-0.281960666179657,-31.890892028808597,-0.1676853001117706,-19.26299095153809,-0.0990885198116302,-5.427913188934326,-0.1016302853822708,-7.668487071990967,L,False,True,0,R,50,,0.284,LeftResponse,incorrect,True,11.0
24,25,324.02566666666667,8871,323.813,323.819,323.825,0.4683292793545066,50.22523166235107,-0.4115117788314819,-44.77679443359375,-0.256592333316803,-28.962160110473636,-0.2235852628946304,-22.751100540161133,-0.17277392745018,-15.637426376342772,L,False,True,0,R,200,,0.327,RightResponse,correct,True,4.0
25,26,327.7526666666667,8879,327.342,327.348,327.352,0.3324672881537442,35.63546441279364,-0.2590927481651306,-28.3106746673584,-0.2413530945777893,-25.17452812194824,-0.2083397358655929,-21.64236640930176,-0.2312116399407386,-21.71219062805176,L,False,True,0,L,400,,0.388,RightResponse,incorrect,True,7.0
26,27,331.2116666666667,8886,331.2,331.209,331.214,0.5156899130272057,42.959941593459,-0.4876660704612732,-40.12921142578125,-0.2972385585308075,-22.794601440429688,-0.1676838994026184,-15.336328506469728,-0.1930989548563957,-18.293596267700195,L,False,True,0,R,0,,0.322,RightResponse,correct,True,9.0
27,28,335.02566666666667,8893,334.617,334.622,334.627,0.260475169326531,25.912863685245195,-0.2438892126083374,-25.428098678588867,-0.154955506324768,-15.357073783874512,-0.0914623737335205,-4.9888176918029785,-0.0889180898666381,-4.503678321838379,L,False,True,0,L,400,,0.255,LeftResponse,correct,True,10.0
28,29,339.3136666666667,8901,339.202,339.209,339.215,0.5552959052975891,55.05074796393975,-0.5104981064796448,-52.43452835083008,-0.3759548664093017,-35.58536911010742,-0.2185068093240261,-16.7691707611084,-0.2311792373657226,-20.416015625,L,False,True,0,R,100,,0.338,RightResponse,correct,True,14.0
29,30,343.25666666666666,12168,343.245,343.249,343.256,0.2512251606423323,24.88911661955165,-0.1194002628326416,-14.364935874938965,-0.2616899311542511,-33.213348388671875,-0.2210376858711242,-20.325273513793945,-0.3531385958194732,-33.09694290161133,L,False,True,0,R,0,,0.292,LeftResponse,incorrect,True,8.0
30,31,346.40866666666665,8919,346.395,346.402,346.409,0.5215335932231254,47.78980718238069,-0.4699648022651672,-43.78637313842773,-0.3201151192188263,-30.487306594848636,-0.226120263338089,-19.14730262756348,-0.2845616787672043,-23.99849510192871,L,False,True,0,L,0,,0.272,RightResponse,incorrect,True,11.0
