trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.398,,,100.0
2,pract,R,,,0.383,,,90.0
3,pract,R,,,0.255,,,80.0
4,pract,R,,,0.282,,,70.0
5,pract,R,,,0.221,,,60.0
6,pract,R,,,0.249,,,50.0
7,pract,L,,,0.248,,,40.0
8,pract,R,,,0.204,,,30.0
9,pract,R,,,0.289,,,20.0
10,pract,R,,,0.283,,,25.0
11,pract,L,,,0.395,,,20.0
12,pract,R,,,0.218,,,15.0
13,pract,R,,,0.366,,,10.0
14,pract,R,,,0.282,,,8.0
15,pract,L,,,0.304,,,6.0
16,pract,L,,,0.308,,,4.0
17,pract,L,,,0.296,,,2.0
18,pract,R,,,0.278,,,4.0
19,pract,R,,,0.317,,,2.0
20,pract,L,,,0.35,,,4.0
21,pract,R,,,0.379,,,2.0
22,pract,R,,,0.226,,,4.0
23,pract,R,,,0.284,,,2.0
24,pract,R,,,0.35,,,4.0
25,pract,R,,,0.396,,,2.0
