,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc
0,pract,0,StartPractice,1781860186.6139095,513.8411786556244
1,pract,1,startFixDisplay,1781860186.623497,513.8507661819458
2,pract,1,startFixPeriod,1781860186.8194416,514.046713590622
3,pract,1,targetPresented,1781860187.1067147,514.3339841365814
4,pract,1,blankDurationStart,1781860187.1150668,514.3423388004303
5,pract,1,maskStart,1781860187.5314612,514.7587332725525
6,pract,1,maskEnd,1781860188.030875,515.2581660747528
7,pract,1,LeftResponse,1781860188.201947,515.4292187690735
8,pract,1,EndOfTrial,1781860188.2057338,515.433002948761
9,pract,1,FeedbackPeriodStarted,1781860188.2224126,515.4496817588806
10,pract,2,startFixDisplay,1781860189.7379613,516.9652330875397
11,pract,2,startFixPeriod,1781860189.742157,516.9694283008575
12,pract,2,targetPresented,1781860190.025285,517.2525546550751
13,pract,2,blankDurationStart,1781860190.03364,517.2609112262726
14,pract,2,maskStart,1781860190.4084153,517.6356871128082
15,pract,2,maskEnd,1781860190.9079256,518.1351954936981
16,pract,2,RightResponse,1781860191.6743832,518.901654958725
17,pract,2,EndOfTrial,1781860191.6781478,518.9054193496704
18,pract,2,FeedbackPeriodStarted,1781860191.6946948,518.9219636917114
19,pract,3,startFixDisplay,1781860193.2144315,520.4417037963867
20,pract,3,startFixPeriod,1781860193.2185075,520.4457786083221
21,pract,3,targetPresented,1781860193.5850873,520.8123590946198
22,pract,3,blankDurationStart,1781860193.593376,520.8206479549408
23,pract,3,maskStart,1781860193.926455,521.153727054596
24,pract,3,maskEnd,1781860194.426003,521.6532726287842
25,pract,3,LeftResponse,1781860194.6303267,521.8575983047485
26,pract,3,EndOfTrial,1781860194.634206,521.8614773750305
27,pract,3,FeedbackPeriodStarted,1781860194.6424117,521.8696808815002
28,pract,4,startFixDisplay,1781860196.178758,523.4060270786285
29,pract,4,startFixPeriod,1781860196.1828544,523.4101233482361
30,pract,4,targetPresented,1781860196.5785108,523.8057816028595
31,pract,4,blankDurationStart,1781860196.5868478,523.8141174316406
32,pract,4,maskStart,1781860196.8783102,524.1055822372437
33,pract,4,maskEnd,1781860197.3780034,524.6052763462067
34,pract,4,RightResponse,1781860197.5278213,524.7550902366638
35,pract,4,EndOfTrial,1781860197.5317924,524.7590613365173
36,pract,4,FeedbackPeriodStarted,1781860197.540166,524.7674376964569
37,pract,5,startFixDisplay,1781860199.0598345,526.2871067523956
38,pract,5,startFixPeriod,1781860199.0639875,526.2912585735321
39,pract,5,targetPresented,1781860199.3097405,526.5370123386383
40,pract,5,blankDurationStart,1781860199.3180633,526.5453357696533
41,pract,5,maskStart,1781860199.5679066,526.7951774597168
42,pract,5,maskEnd,1781860200.0673025,527.2945749759674
43,pract,5,LeftResponse,1781860200.567192,527.7944638729095
44,pract,5,EndOfTrial,1781860200.5712361,527.7985074520111
45,pract,5,FeedbackPeriodStarted,1781860200.5796828,527.8069548606873
46,pract,6,startFixDisplay,1781860202.1032033,529.3304727077484
47,pract,6,startFixPeriod,1781860202.1074793,529.3347511291504
48,pract,6,targetPresented,1781860202.4156651,529.6429371833801
49,pract,6,blankDurationStart,1781860202.424052,529.6513240337372
50,pract,6,maskStart,1781860202.6321895,529.8594613075256
51,pract,6,maskEnd,1781860203.131724,530.358993768692
52,pract,6,LeftResponse,1781860203.6228945,530.8501636981964
53,pract,6,EndOfTrial,1781860203.6270788,530.8543498516083
54,pract,6,FeedbackPeriodStarted,1781860203.6353483,530.8626201152802
55,pract,7,startFixDisplay,1781860205.1549535,532.3822228908539
56,pract,7,startFixPeriod,1781860205.159117,532.3863880634308
57,pract,7,targetPresented,1781860205.396474,532.6237435340881
58,pract,7,blankDurationStart,1781860205.4048104,532.6320803165436
59,pract,7,maskStart,1781860205.5715256,532.7987976074219
60,pract,7,maskEnd,1781860206.0710616,533.2983314990997
61,pract,7,LeftResponse,1781860206.5540512,533.7813198566437
62,pract,7,EndOfTrial,1781860206.5581696,533.785441160202
63,pract,7,FeedbackPeriodStarted,1781860206.5664473,533.793719291687
64,pract,8,startFixDisplay,1781860208.0986822,535.3259515762329
