trialIndex,blockId,arrowDirection,latency,blankDuration,fixationDurationInSec,response,result,blankDurationInFrameCount
1,pract,L,,,0.289,,,100.0
2,pract,R,,,0.285,,,90.0
3,pract,L,,,0.368,,,80.0
4,pract,R,,,0.399,,,70.0
5,pract,L,,,0.246,,,60.0
6,pract,L,,,0.31,,,50.0
7,pract,L,,,0.239,,,40.0
8,pract,L,,,0.248,,,30.0
9,pract,L,,,0.226,,,20.0
10,pract,R,,,0.212,,,15.0
11,pract,R,,,0.313,,,20.0
12,pract,L,,,0.339,,,15.0
13,pract,R,,,0.285,,,10.0
14,pract,L,,,0.206,,,8.0
15,pract,R,,,0.204,,,6.0
16,pract,R,,,0.281,,,4.0
17,pract,R,,,0.395,,,6.0
18,pract,R,,,0.308,,,4.0
19,pract,L,,,0.34,,,2.0
20,pract,L,,,0.383,,,4.0
21,pract,L,,,0.338,,,6.0
22,pract,L,,,0.28,,,4.0
23,pract,R,,,0.39,,,6.0
24,pract,R,,,0.347,,,4.0
25,pract,R,,,0.368,,,6.0
