,startTime,stopTime,whichEye
0,0.005,0.365,L
0,0.005,0.365,R
1,0.556,0.834,R
1,0.556,0.834,L
2,2.621,2.752,L
2,2.621,2.752,R
3,4.12,4.882,R
3,4.12,4.882,L
4,4.939,5.076,L
4,4.939,5.076,R
5,5.621,5.743,R
5,5.621,5.743,L
6,6.491,6.696,L
6,6.491,6.696,R
7,7.07,7.171,R
7,7.07,7.171,L
8,7.344,7.558,L
8,7.344,7.558,R
9,8.212,8.341,R
9,8.212,8.341,L
10,9.333,9.423,L
10,9.333,9.423,R
11,10.442,10.551,R
11,10.442,10.551,L
12,11.995,12.443,L
12,11.995,12.443,R
13,14.559,14.678,R
13,14.559,14.678,L
14,16.229,16.385,L
14,16.229,16.385,R
15,17.391,17.542,R
15,17.391,17.542,L
16,18.059,18.229,L
16,18.059,18.229,R
17,18.459,20.958,R
17,18.459,20.958,L
18,21.335,21.425,L
18,21.335,21.425,R
19,22.539,22.993,R
19,22.539,22.993,L
20,24.173,24.321,L
20,24.173,24.321,R
21,25.72,25.828,R
21,25.72,25.828,L
22,27.257,27.37,L
22,27.257,27.37,R
23,31.253,31.454,R
23,31.253,31.454,L
24,32.12,32.333,L
24,32.12,32.333,R
25,33.284,33.397,R
25,33.284,33.397,L
26,34.913,35.03,L
26,34.913,35.03,R
27,36.211,36.356,R
27,36.211,36.356,L
28,37.146,37.278,L
28,37.146,37.278,R
29,40.271,40.365,R
29,40.271,40.365,L
30,41.217,41.457,L
30,41.217,41.457,R
31,42.395,42.587,R
31,42.395,42.587,L
32,43.226,43.435,L
32,43.226,43.435,R
33,44.456,44.635,R
33,44.456,44.635,L
34,45.931,46.052,L
34,45.931,46.052,R
35,46.879,47.476,R
35,46.879,47.476,L
36,49.672,49.841,L
36,49.672,49.841,R
37,51.045,51.18,R
37,51.045,51.18,L
38,51.974,52.055,L
38,51.974,52.055,R
39,54.313,54.423,R
39,54.313,54.423,L
40,55.562,55.655,L
40,55.562,55.655,R
41,58.813,58.986,R
41,58.813,58.986,L
42,60.46,60.91,L
42,60.46,60.91,R
43,61.286,61.514,R
43,61.286,61.514,L
44,61.606,62.132,L
44,61.606,62.132,R
45,63.148,63.242,R
45,63.148,63.242,L
46,64.142,64.259,L
46,64.142,64.259,R
47,64.858,64.906,R
47,64.858,64.906,L
48,64.93,65.27,L
48,64.93,65.27,R
49,65.332,65.491,R
49,65.332,65.491,L
50,65.883,66.057,R
50,65.883,66.057,L
51,67.34,70.037,L
51,67.34,70.037,R
52,70.864,71.002,L
52,70.864,71.002,R
53,71.341,72.832,R
53,71.341,72.832,L
54,73.484,73.592,L
54,73.484,73.592,R
55,74.516,74.611,R
55,74.516,74.611,L
56,75.352,75.801,R
56,75.352,75.801,L
57,76.541,77.013,L
57,76.541,77.013,R
58,77.178,77.32,R
58,77.178,77.32,L
59,78.379,78.598,L
59,78.379,78.598,R
60,80.038,80.345,L
60,80.038,80.345,R
61,80.553,80.686,R
61,80.553,80.686,L
62,81.503,81.813,L
62,81.503,81.813,R
63,82.339,82.474,R
63,82.339,82.474,L
64,83.794,83.894,R
